,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
660,2.0,5.0,133.0,0.5,34950.0,27500.0,41.0,275.0,127.0909090909091,78.15435010944427,17.0,6.181818181818182,0.4146092454905956,3.0,-1.900000000000091,9510.0,15600.0,15.0,156.0,60.96153846153847,16.518875925410672,6.0,3.8461538461538463,0.6410256410256411,0.0,11.111111111110858,0.0,0.21312153681003143,0.0,0.21312153681003465,-0.21206592945345173,-0.01660638832864488,0.0,-0.16043312758991668,-0.02612150987693967,0.0,0.0,0.011016118371113107
891,2.0,7.0,126.0,0.5,34950.0,28300.0,41.0,283.0,123.49823321554769,76.40794644639352,17.0,6.007067137809187,0.4028888427912149,3.0,-1.900000000000091,9510.0,16000.0,15.0,160.0,59.4375,16.323883531806988,6.0,3.75,0.625,0.0,11.111111111110858,0.0,-0.11163509071001648,0.0,-0.11163509071001815,0.11004637347575333,0.0014536138936597869,0.0,0.08325280690842149,0.013555112030851978,0.0,0.0,-0.014962275111348042
894,2.0,7.0,127.0,0.5,34950.0,28100.0,41.0,281.0,124.37722419928824,74.60664486106184,17.0,6.049822064056939,0.4057563790388392,3.0,-1.900000000000091,9510.0,15900.0,15.0,159.0,59.81132075471698,17.295974567212994,6.0,3.7735849056603774,0.6289308176100629,0.0,11.111111111110858,0.0,-0.03044593383000449,0.0,-0.030445933830004948,0.031237758435245656,0.020081329422670303,0.0,0.023632137880803695,0.003847753468002476,0.0,0.0,0.017907111546712692
900,2.0,7.0,129.0,0.5,34950.0,28200.0,41.0,282.0,123.93617021276594,77.0251026889782,17.0,6.028368794326241,0.4043175266309,3.0,-1.900000000000091,9510.0,15400.0,15.0,154.0,61.75324675324675,19.835411645586,6.0,3.896103896103896,0.6493506493506493,0.0,11.111111111110858,0.0,-0.07104051227001049,0.0,-0.07104051227001154,0.07078179754245023,-0.004928554987684625,0.0,0.05354818280069026,0.008718644378085026,0.0,0.0,-0.013960954806481143
2048,5.0,5.0,91.0,0.58,26990.0,22400.0,32.0,224.0,120.49107142857144,52.15239284619369,14.0,6.25,0.66216057920497,4.0,86.5333333333333,22500.0,18600.0,24.0,186.0,120.96774193548389,21.80364221982861,19.0,10.21505376344086,0.3104033705320571,2.0,88.33333333333326,-0.1413772761106501,-0.11381440450378742,0.10603978929562102,-0.1138144045037891,0.029330046223020125,0.012529349334377349,-0.26588603199327887,-0.009473292100869517,-0.001381269745377062,-0.17718924876527278,0.06155583650619424,-0.6134809063638121
2054,5.0,5.0,93.0,0.58,26140.0,21200.0,32.0,212.0,123.30188679245282,51.54180961291674,13.0,6.132075471698113,0.5378185967448764,4.0,130.83333333333326,22500.0,17700.0,24.0,177.0,127.1186440677966,25.497631091628897,19.0,10.734463276836156,0.3261865927625008,3.0,88.33333333333326,-0.10889695698689945,-0.07262704461098136,0.10603978929562102,-0.07262704461098242,-0.01626510483701936,0.013350734401079572,-0.14391996227159132,0.03333778357693844,0.016929560242847103,-0.17718924876527278,-0.08357048372927171,-0.5054379782955323
2060,5.0,5.0,95.0,0.58,26140.0,21400.0,32.0,214.0,122.14953271028035,46.74867639207597,13.0,6.074766355140187,0.5327922547192233,4.0,130.83333333333326,22500.0,17900.0,24.0,179.0,125.69832402234636,23.32964624654021,19.0,10.614525139664805,0.3225420498266066,3.0,88.33333333333326,-0.10889695698689945,-0.0794916045931157,0.10603978929562102,-0.07949160459311687,0.0024276058712191526,0.019798680947504192,-0.14391996227159132,0.05414316614933094,0.017669748652855272,-0.17718924876527278,-0.08357048372927171,-0.47248087002273725
2063,5.0,5.0,96.0,0.58,26140.0,21100.0,32.0,211.0,123.8862559241706,52.74674863914603,13.0,6.161137440758294,0.5403675000469849,4.0,130.83333333333326,22500.0,17300.0,24.0,173.0,130.0578034682081,24.573053970160174,19.0,10.982658959537572,0.3337284793003622,3.0,88.33333333333326,-0.10889695698689945,-0.06919476461991418,0.10603978929562102,-0.06919476461991521,-0.025744346760154337,0.011729794177877395,-0.14391996227159132,0.02278718672743115,0.01655420403492827,-0.17718924876527278,-0.08357048372927171,-0.520599553517161
2066,5.0,5.0,97.0,0.58,26140.0,20600.0,32.0,206.0,126.89320388349516,53.780169179606006,13.0,6.310679611650485,0.5534832160675427,4.0,130.83333333333326,22500.0,17500.0,24.0,175.0,128.57142857142858,19.27064713433092,19.0,10.857142857142858,0.3299144395369288,3.0,88.33333333333326,-0.10889695698689945,-0.05203336466457833,0.10603978929562102,-0.052033364664579085,-0.07452102850055878,0.010339588628010715,-0.14391996227159132,-0.031502292206925936,0.014622759469909052,-0.17718924876527278,-0.08357048372927171,-0.5926645643961366
2072,5.0,5.0,99.0,0.58,24600.0,19600.0,32.0,196.0,125.51020408163264,64.02103088102966,12.0,6.122448979591836,0.6845106053570784,3.0,130.83333333333326,22500.0,16900.0,24.0,169.0,133.1360946745562,22.235490697826048,19.0,11.242603550295858,0.3416273782187139,3.0,88.33333333333326,-0.05005026116269242,-0.017710564753906605,0.10603978929562102,-0.017710564753906855,-0.05208693848802541,-0.0034368965639706628,-0.02195389254990373,0.03683256526492277,-0.004672575875508664,0.05595449961008621,-0.08357048372927171,-0.05236532370655606
