,place_name,num_date,income,date_count,num_plus_day,num_minus_day
104,simonoseki,6.0,-13000.0,9,0.0,66.667
105,simonoseki,7.0,-6000.0,4,0.0,50.0
106,suminoe,1.0,-4000.0,20,0.0,20.0
107,suminoe,2.0,-2300.0,20,5.0,30.0
108,suminoe,3.0,-4000.0,20,0.0,20.0
109,suminoe,4.0,-2900.0,20,5.0,35.0
110,suminoe,5.0,4800.0,16,12.5,37.5
111,suminoe,6.0,-700.0,14,7.143,7.143
112,suminoe,7.0,5700.0,3,33.333,0.0
113,tamagawa,1.0,42600.0,21,19.048,57.143
114,tamagawa,2.0,2300.0,21,9.524,80.952
115,tamagawa,3.0,-21100.0,21,14.286,71.429
116,tamagawa,4.0,-42200.0,21,9.524,80.952
117,tamagawa,5.0,-6300.0,17,17.647,70.588
118,tamagawa,6.0,-21100.0,11,9.091,81.818
119,toda,1.0,71000.0,21,9.524,85.714
120,toda,2.0,49400.0,21,23.81,76.19
121,toda,3.0,21100.0,21,9.524,85.714
122,toda,4.0,-48900.0,21,4.762,90.476
123,toda,5.0,65500.0,13,23.077,61.538
124,toda,6.0,-4000.0,10,20.0,50.0
125,toda,7.0,-5000.0,1,0.0,100.0
126,tokoname,1.0,-71400.0,25,8.0,80.0
127,tokoname,2.0,-135000.0,25,4.0,84.0
128,tokoname,3.0,-62200.0,25,12.0,72.0
129,tokoname,4.0,15300.0,25,20.0,68.0
130,tokoname,5.0,-36000.0,14,21.429,71.429
131,tokoname,6.0,-49000.0,6,0.0,83.333
132,tokuyama,1.0,-27500.0,20,25.0,65.0
133,tokuyama,2.0,-103700.0,20,10.0,85.0
134,tokuyama,3.0,-90700.0,20,25.0,75.0
135,tokuyama,4.0,15400.0,20,45.0,55.0
136,tokuyama,5.0,32700.0,20,35.0,65.0
137,tokuyama,6.0,299100.0,18,33.333,66.667
138,tokuyama,7.0,-18500.0,2,0.0,100.0
139,tu,1.0,-21300.0,14,7.143,64.286
140,tu,2.0,-38000.0,14,0.0,78.571
141,tu,3.0,-43000.0,14,0.0,78.571
142,tu,4.0,-38000.0,14,0.0,78.571
143,tu,5.0,6200.0,12,16.667,66.667
144,tu,6.0,-27500.0,11,0.0,90.909
145,tu,7.0,-7000.0,4,0.0,75.0
146,wakamatu,1.0,-21700.0,20,20.0,55.0
147,wakamatu,2.0,-36900.0,20,15.0,70.0
148,wakamatu,3.0,-52600.0,20,10.0,75.0
149,wakamatu,4.0,-44900.0,20,5.0,85.0
150,wakamatu,5.0,-13300.0,18,16.667,61.111
151,wakamatu,6.0,-49000.0,12,0.0,66.667
152,wakamatu,7.0,-6000.0,3,0.0,66.667
