,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
1,1.0,5.0,81.0,0.54,38000.0,39100.0,53.0,391.0,97.18670076726342,67.42632880890692,26.0,6.649616368286446,0.5544624907590486,2.0,182.6309523809523,27590.0,24100.0,26.0,241.0,114.48132780082987,66.78572325986849,13.0,5.394190871369295,1.197822135248186,2.0,67.77777777777783,0.09606907982330898,0.2678944587191137,0.0,0.26789445871911355,0.31022237859308477,0.0880053091997271,-0.035864690513989106,0.3851983919257253,0.2610986134930751,0.0,0.05781942864467451,1.6983374286038337
4,1.0,5.0,82.0,0.54,39490.0,38300.0,53.0,383.0,103.10704960835508,68.24811998294165,27.0,7.049608355091384,0.6288038944539059,2.0,143.16666666666652,27690.0,23900.0,26.0,239.0,115.85774058577404,67.86797395880089,13.0,5.439330543933055,1.2078457514427317,2.0,73.33333333333348,0.11136571517766544,0.2482566483582087,0.0,0.24825664835820857,-0.09059463983125587,0.0706226769903915,-0.04189113441183154,0.11595685153147056,0.13901322692785667,0.0,0.003594015362426695,0.8045800084631407
7,1.0,5.0,83.0,0.54,39490.0,36800.0,53.0,368.0,107.30978260869566,70.43817654118487,27.0,7.336956521739131,0.6544344879778421,2.0,143.16666666666652,26520.0,23300.0,26.0,233.0,113.81974248927038,59.3449800208127,12.0,5.150214592274678,1.1355155841478928,2.0,92.5555555555552,0.11136571517766544,0.2114357539315119,0.0,0.2114357539315118,-0.37512633815589,0.024298320058351003,-0.04189113441183154,-0.07746218077387672,0.09692199966088764,0.0,0.003594015362426695,0.16457190478075617
10,1.0,5.0,84.0,0.54,36910.0,35000.0,53.0,350.0,105.45714285714286,73.77945587732783,25.0,7.142857142857142,0.6700593942604899,2.0,181.1309523809523,25570.0,22000.0,26.0,220.0,116.22727272727272,62.18759422103415,11.0,5.0,1.143914308374356,2.0,84.72222222222217,0.08487892375871264,0.16725068061947573,0.0,0.1672506806194756,-0.249699684868534,-0.046376848578069056,-0.029838246616146678,0.053189475968536494,0.07126237220224811,0.0,0.05575837221222708,0.27367572531792594
13,1.0,5.0,85.0,0.54,36910.0,35400.0,53.0,354.0,104.26553672316383,74.74389956204456,25.0,7.062146892655368,0.6624881016699761,2.0,181.1309523809523,21210.0,21400.0,26.0,214.0,99.11214953271028,54.669573157918094,10.0,4.672897196261682,0.9727411212458564,2.0,10.166666666666517,0.08487892375871264,0.17706958579992818,0.0,0.1770695857999281,-0.16902605725344938,-0.06677688497142513,-0.029838246616146678,0.1075169445348724,0.08369614580309816,0.0,0.05575837221222708,0.4203483690677453
14,1.0,5.0,85.0,0.58,18800.0,19300.0,53.0,193.0,97.40932642487049,80.37395542563439,14.0,7.253886010362693,0.9268675554403272,2.0,131.0,11060.0,13000.0,26.0,130.0,85.07692307692307,43.58451412453927,6.0,4.615384615384616,1.3323467750529825,1.0,5.0,-0.10104192608517704,-0.21814134771328428,0.0,-0.21814134771328425,0.295150268029686,-0.18586454797747679,0.036452636260120054,-0.021545979494480626,-0.350474668968421,0.0,-0.01312344236742443,-0.7767303560297423
16,1.0,5.0,86.0,0.54,35830.0,33500.0,53.0,335.0,106.95522388059702,78.87905333937879,24.0,7.164179104477612,0.647148757871009,2.0,124.75,21210.0,20400.0,26.0,204.0,103.97058823529412,58.35656081604274,10.0,4.901960784313726,1.020424509542222,2.0,10.166666666666517,0.0737914296763603,0.1304297861927789,0.0,0.1304297861927788,-0.35112214920228474,-0.15424418750710314,-0.023811802718304246,0.03883729397414558,0.10888681512433442,0.0,-0.021711177502622036,-0.06851420576991618
18,1.0,5.0,87.0,0.5,48210.0,49700.0,53.0,497.0,97.0020120724346,79.15942286943839,32.0,6.438631790744467,0.6763676585099239,2.0,234.5666666666666,33380.0,30800.0,26.0,308.0,108.37662337662336,41.30324719956759,17.0,5.51948051948052,1.0436851472936095,2.0,48.27380952380963,0.2008869636944362,0.5280954460011046,0.0,0.5280954460011043,0.3227260965301382,-0.16017459973068873,-0.07202335390104368,0.5272157686001624,0.060902776591048056,0.0,0.12918105397955656,2.0649055977658177
19,1.0,5.0,87.0,0.54,33840.0,32500.0,53.0,325.0,104.12307692307692,68.0482742885674,23.0,7.076923076923077,0.5589508346026139,2.0,169.42857142857133,21210.0,19600.0,26.0,196.0,108.21428571428572,55.00304740368938,10.0,5.1020408163265305,1.062074489523537,2.0,10.166666666666517,0.053361695209803675,0.1058825232416477,0.0,0.10588252324164761,-0.15938130255253646,0.07484983872403653,-0.017785358820461818,0.09757083875118971,0.253727738503568,0.0,0.039678860520990414,0.5537873568198853
20,1.0,5.0,87.0,0.58,17280.0,17900.0,53.0,179.0,96.53631284916202,67.26273384773849,13.0,7.262569832402235,0.8472486529666536,2.0,137.5,8560.0,11800.0,26.0,118.0,72.54237288135593,32.907543651606105,5.0,4.23728813559322,0.9785597782875016,0.0,176.66666666666652,-0.11664654738626552,-0.252507515844868,0.0,-0.2525075158448679,0.3542546735050429,0.091465690779794,0.04247908015796249,-0.027391210648013673,-0.21972243665525468,0.0,-0.004192197826818923,-0.38476797976328925
