,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2012,121.0,111.0,70.0,63.0,81.0,92.0,66.0,34.0,73.0,69.0,46.0,47.0,51.0,40.0,34.0,30.0,17.0,28.0,20.0,15.0,47.0,41.0,27.0,20.0,21.0,13.0,9.0,17.0,15.0,9.0,9.0,6.0,18.0,9.0,13.0,7.0,5.0,10.0,3.0,,23.0,34.0,17.0,14.0,13.0,18.0,8.0,18.0,8.0,12.0,12.0,8.0,10.0,9.0,13.0,7.0,10.0,5.0,3.0,9.0,30.0,30.0,32.0,25.0,20.0,7.0,12.0,10.0,15.0,9.0,14.0,15.0,11.0,11.0,11.0,13.0,4.0,7.0,4.0,11.0,13.0,7.0,15.0,7.0,15.0,6.0,8.0,5.0,8.0,4.0,2.0,6.0,10.0,6.0,3.0,5.0,11.0,2.0,5.0,3.0,6.0,10.0,5.0,6.0,6.0,7.0,3.0,6.0,7.0,4.0,8.0,4.0,8.0,8.0,2.0,1.0,5.0,4.0,2.0,
2013,144.0,103.0,73.0,51.0,122.0,96.0,69.0,48.0,88.0,68.0,59.0,39.0,38.0,50.0,34.0,15.0,17.0,20.0,20.0,9.0,59.0,43.0,20.0,21.0,15.0,14.0,12.0,9.0,16.0,11.0,6.0,6.0,7.0,10.0,3.0,3.0,9.0,6.0,6.0,,28.0,31.0,23.0,18.0,13.0,15.0,8.0,10.0,16.0,9.0,12.0,11.0,17.0,6.0,7.0,4.0,9.0,3.0,8.0,6.0,23.0,19.0,24.0,25.0,11.0,15.0,7.0,4.0,15.0,11.0,8.0,17.0,10.0,16.0,10.0,5.0,14.0,10.0,13.0,7.0,13.0,11.0,7.0,9.0,13.0,5.0,3.0,10.0,11.0,5.0,6.0,5.0,7.0,3.0,4.0,1.0,7.0,2.0,3.0,3.0,12.0,5.0,4.0,2.0,5.0,5.0,4.0,1.0,,2.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,,1.0,2.0
2014,143.0,117.0,78.0,49.0,95.0,106.0,53.0,50.0,88.0,79.0,65.0,37.0,40.0,54.0,29.0,21.0,24.0,21.0,23.0,16.0,44.0,35.0,28.0,15.0,15.0,13.0,12.0,10.0,13.0,16.0,6.0,4.0,5.0,11.0,13.0,6.0,8.0,9.0,5.0,,21.0,35.0,22.0,18.0,14.0,12.0,12.0,5.0,18.0,9.0,14.0,20.0,14.0,10.0,5.0,5.0,4.0,6.0,12.0,3.0,26.0,23.0,29.0,27.0,13.0,12.0,16.0,7.0,11.0,7.0,14.0,8.0,16.0,8.0,12.0,10.0,13.0,5.0,5.0,5.0,17.0,15.0,12.0,7.0,9.0,6.0,3.0,3.0,12.0,7.0,4.0,8.0,5.0,8.0,3.0,5.0,4.0,3.0,3.0,3.0,8.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,6.0,2.0,1.0,4.0,,3.0,3.0,1.0,4.0,,1.0,1.0
2015,176.0,109.0,91.0,55.0,90.0,90.0,62.0,50.0,100.0,75.0,49.0,49.0,36.0,39.0,37.0,18.0,21.0,16.0,23.0,18.0,35.0,40.0,22.0,20.0,15.0,8.0,11.0,9.0,18.0,14.0,5.0,7.0,10.0,7.0,8.0,1.0,5.0,5.0,1.0,,24.0,31.0,22.0,17.0,11.0,11.0,7.0,9.0,19.0,11.0,7.0,8.0,8.0,10.0,4.0,6.0,4.0,3.0,3.0,5.0,33.0,27.0,29.0,26.0,17.0,6.0,12.0,7.0,15.0,12.0,6.0,8.0,14.0,7.0,8.0,15.0,17.0,6.0,4.0,3.0,14.0,15.0,16.0,16.0,10.0,7.0,2.0,1.0,6.0,4.0,2.0,3.0,8.0,6.0,3.0,6.0,4.0,3.0,4.0,1.0,7.0,1.0,4.0,4.0,8.0,1.0,5.0,,6.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,,4.0,1.0
2016,141.0,101.0,68.0,61.0,104.0,110.0,74.0,58.0,81.0,64.0,59.0,38.0,50.0,52.0,44.0,30.0,31.0,23.0,24.0,8.0,55.0,43.0,35.0,37.0,21.0,13.0,12.0,8.0,19.0,12.0,13.0,3.0,10.0,4.0,9.0,4.0,6.0,3.0,7.0,,21.0,34.0,21.0,18.0,17.0,11.0,10.0,7.0,19.0,9.0,5.0,5.0,6.0,10.0,8.0,4.0,7.0,3.0,8.0,3.0,23.0,14.0,24.0,19.0,16.0,6.0,9.0,9.0,8.0,9.0,6.0,7.0,16.0,8.0,5.0,9.0,11.0,5.0,5.0,8.0,10.0,22.0,12.0,4.0,8.0,6.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,1.0,7.0,7.0,5.0,4.0,5.0,8.0,4.0,11.0,4.0,5.0,4.0,6.0,3.0,5.0,1.0,,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0
2017,143.0,125.0,74.0,60.0,140.0,115.0,74.0,55.0,91.0,99.0,54.0,39.0,47.0,53.0,36.0,24.0,28.0,18.0,23.0,14.0,52.0,41.0,27.0,18.0,21.0,8.0,13.0,6.0,16.0,10.0,9.0,7.0,9.0,6.0,2.0,6.0,7.0,2.0,6.0,,17.0,38.0,33.0,16.0,13.0,14.0,7.0,7.0,16.0,11.0,6.0,13.0,16.0,3.0,9.0,2.0,6.0,2.0,4.0,3.0,24.0,17.0,21.0,12.0,15.0,7.0,7.0,14.0,13.0,6.0,5.0,5.0,16.0,9.0,10.0,11.0,10.0,4.0,3.0,4.0,17.0,14.0,8.0,9.0,7.0,2.0,3.0,,9.0,6.0,4.0,4.0,9.0,6.0,4.0,4.0,3.0,2.0,,1.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,1.0
2018,149.0,121.0,92.0,57.0,159.0,116.0,96.0,59.0,91.0,82.0,69.0,42.0,55.0,49.0,37.0,22.0,16.0,14.0,17.0,14.0,39.0,34.0,28.0,23.0,19.0,11.0,10.0,6.0,7.0,9.0,9.0,4.0,12.0,4.0,4.0,4.0,3.0,6.0,4.0,,16.0,24.0,26.0,12.0,18.0,15.0,11.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0,7.0,6.0,6.0,5.0,2.0,1.0,29.0,15.0,22.0,16.0,11.0,5.0,10.0,5.0,11.0,5.0,7.0,4.0,16.0,11.0,9.0,11.0,9.0,9.0,3.0,4.0,12.0,13.0,9.0,8.0,5.0,8.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,8.0,2.0,3.0,1.0,6.0,3.0,3.0,,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,6.0,3.0,1.0,2.0
2019,168.0,131.0,104.0,58.0,130.0,108.0,86.0,52.0,82.0,84.0,50.0,42.0,45.0,56.0,32.0,26.0,24.0,20.0,16.0,12.0,53.0,36.0,37.0,13.0,16.0,8.0,11.0,10.0,15.0,4.0,7.0,7.0,5.0,4.0,3.0,2.0,6.0,4.0,1.0,,14.0,48.0,21.0,9.0,10.0,12.0,7.0,9.0,14.0,7.0,11.0,8.0,8.0,6.0,8.0,4.0,3.0,4.0,9.0,2.0,20.0,17.0,18.0,12.0,14.0,5.0,11.0,6.0,15.0,5.0,8.0,3.0,19.0,12.0,4.0,11.0,7.0,4.0,1.0,5.0,11.0,15.0,9.0,8.0,9.0,2.0,2.0,4.0,5.0,6.0,5.0,2.0,6.0,5.0,6.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,,2.0,4.0,,3.0,4.0,,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,
2020,173.0,149.0,83.0,53.0,121.0,123.0,103.0,54.0,99.0,94.0,60.0,45.0,64.0,55.0,29.0,18.0,21.0,17.0,12.0,11.0,41.0,52.0,30.0,23.0,25.0,19.0,8.0,9.0,10.0,7.0,9.0,6.0,5.0,3.0,2.0,1.0,8.0,7.0,6.0,,19.0,25.0,32.0,19.0,11.0,15.0,5.0,3.0,15.0,12.0,11.0,11.0,5.0,5.0,5.0,2.0,7.0,2.0,5.0,4.0,15.0,17.0,18.0,15.0,9.0,4.0,7.0,10.0,7.0,9.0,12.0,2.0,16.0,4.0,8.0,9.0,3.0,5.0,5.0,4.0,18.0,11.0,7.0,9.0,7.0,5.0,3.0,5.0,3.0,7.0,1.0,1.0,10.0,3.0,1.0,7.0,2.0,,2.0,4.0,2.0,11.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,,1.0,2.0,,2.0,1.0,1.0,2.0,,
