,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
240,1.0,5.0,129.0,104930.0,108600.0,401.0,1086.0,96.62062615101289,14.64088397790055,159.0,0.5
245,1.0,5.0,130.0,102680.0,106300.0,401.0,1063.0,96.59454374412041,14.863593603010347,158.0,0.5
250,1.0,5.0,131.0,100460.0,104300.0,401.0,1043.0,96.3183125599233,14.669223394055608,153.0,0.5
255,1.0,5.0,132.0,96500.0,101100.0,401.0,1011.0,95.45004945598417,14.836795252225517,150.0,0.5
260,1.0,5.0,133.0,93990.0,100700.0,401.0,1007.0,93.33664349553128,14.498510427010924,146.0,0.5
265,1.0,5.0,134.0,93340.0,95800.0,401.0,958.0,97.4321503131524,15.1356993736952,145.0,0.5
270,1.0,5.0,135.0,90450.0,96300.0,401.0,963.0,93.92523364485982,14.74558670820353,142.0,0.5
275,1.0,5.0,136.0,88090.0,94600.0,401.0,946.0,93.1183932346723,14.799154334038056,140.0,0.5
280,1.0,5.0,137.0,87500.0,91900.0,401.0,919.0,95.21218715995647,15.01632208922742,138.0,0.5
285,1.0,5.0,138.0,82990.0,90900.0,401.0,909.0,91.2981298129813,14.3014301430143,130.0,0.5
290,1.0,5.0,139.0,83570.0,89300.0,401.0,893.0,93.58342665173572,14.781634938409855,132.0,0.5
295,1.0,5.0,140.0,80180.0,86600.0,401.0,866.0,92.5866050808314,14.665127020785217,127.0,0.5
300,1.0,5.0,141.0,79540.0,85500.0,401.0,855.0,93.02923976608187,14.853801169590644,127.0,0.5
305,1.0,5.0,142.0,79150.0,83800.0,401.0,838.0,94.4510739856802,15.035799522673033,126.0,0.5
310,1.0,5.0,143.0,76500.0,82700.0,401.0,827.0,92.50302297460702,14.873035066505441,123.0,0.5
315,1.0,5.0,144.0,75900.0,81200.0,401.0,812.0,93.4729064039409,14.901477832512317,121.0,0.5
320,1.0,5.0,145.0,70850.0,78100.0,401.0,781.0,90.71702944942382,14.7247119078105,115.0,0.5
325,1.0,5.0,146.0,74870.0,79700.0,401.0,797.0,93.93977415307403,15.056461731493098,120.0,0.5
330,1.0,5.0,147.0,70930.0,77000.0,401.0,770.0,92.11688311688312,14.805194805194805,114.0,0.5
335,1.0,5.0,148.0,66010.0,74700.0,401.0,747.0,88.36680053547524,14.859437751004014,111.0,0.5
340,1.0,5.0,149.0,67660.0,73800.0,401.0,738.0,91.68021680216802,14.905149051490515,110.0,0.5
345,1.0,5.0,150.0,67060.0,70300.0,401.0,703.0,95.39118065433854,15.647226173541965,110.0,0.5
350,1.0,5.0,151.0,66340.0,69900.0,401.0,699.0,94.90701001430615,15.593705293276109,109.0,0.5
355,1.0,5.0,152.0,59640.0,66500.0,401.0,665.0,89.6842105263158,15.18796992481203,101.0,0.5
1,1.0,5.0,81.0,231660.0,244400.0,401.0,2444.0,94.7872340425532,11.661211129296236,285.0,0.52
6,1.0,5.0,82.0,235410.0,238000.0,401.0,2380.0,98.91176470588235,12.142857142857142,289.0,0.52
11,1.0,5.0,83.0,227790.0,234700.0,401.0,2347.0,97.05581593523647,12.015338730293992,282.0,0.52
16,1.0,5.0,84.0,216780.0,230300.0,401.0,2303.0,94.12939643942684,12.027789839339992,277.0,0.52
21,1.0,5.0,85.0,213670.0,225800.0,401.0,2258.0,94.62798937112488,12.134632418069087,274.0,0.52
26,1.0,5.0,86.0,213250.0,225200.0,401.0,2252.0,94.6936056838366,12.122557726465365,273.0,0.52
31,1.0,5.0,87.0,201270.0,216800.0,401.0,2168.0,92.83671586715867,12.130996309963098,263.0,0.52
36,1.0,5.0,88.0,200450.0,213500.0,401.0,2135.0,93.88758782201405,12.271662763466042,262.0,0.52
41,1.0,5.0,89.0,191040.0,210800.0,401.0,2108.0,90.62618595825427,12.04933586337761,254.0,0.52
46,1.0,5.0,90.0,188210.0,205300.0,401.0,2053.0,91.67559668777399,12.226010716025328,251.0,0.52
51,1.0,5.0,91.0,181170.0,201400.0,401.0,2014.0,89.9553128103277,12.164846077457796,245.0,0.52
56,1.0,5.0,92.0,182610.0,202100.0,401.0,2021.0,90.35625927758535,12.271152894606631,248.0,0.52
61,1.0,5.0,93.0,174740.0,193400.0,401.0,1934.0,90.35160289555326,12.461220268872802,241.0,0.52
66,1.0,5.0,94.0,172050.0,188800.0,401.0,1888.0,91.1281779661017,12.60593220338983,238.0,0.52
71,1.0,5.0,95.0,168950.0,182600.0,401.0,1826.0,92.52464403066813,12.869660460021906,235.0,0.52
76,1.0,5.0,96.0,162260.0,177900.0,401.0,1779.0,91.20854412591343,12.759977515458123,227.0,0.52
81,1.0,5.0,97.0,157240.0,172500.0,401.0,1725.0,91.1536231884058,12.811594202898553,221.0,0.52
86,1.0,5.0,98.0,152600.0,169400.0,401.0,1694.0,90.08264462809917,12.8099173553719,217.0,0.52
91,1.0,5.0,99.0,153100.0,167500.0,401.0,1675.0,91.40298507462687,13.014925373134329,218.0,0.52
