,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,1870.0,1,3333,4151,4382,4479,4737,4759,21
,700.0,2,3559,4525,3584,4236,4434,4625,19
,580.0,3,3379,3234,3842,4373,3455,4757,11
,310.0,4,3443,4047,3296,4364,4502,4661,3
,370.0,5,4498,4008,2380,4529,4327,4382,1
,410.0,6,4488,3885,4208,4359,4625,4233,2
,2250.0,8,3902,3296,4434,3455,4743,4737,4
,990.0,9,4466,3950,4502,3559,4759,4015,3
,230.0,11,4364,4313,4498,4151,4359,4715,2
,310.0,12,4236,3333,3443,4008,4208,3842,3
,2950.0,3,3455,2380,3379,4625,3333,4313,3
,220.0,4,4008,4015,4502,3584,4488,4765,1
,3160.0,6,3885,3559,3842,4737,3902,4498,26
,9380.0,7,2380,4757,4529,3234,3296,3950,21
,8400.0,8,4502,4382,3584,4466,4744,4704,15
,470.0,10,4233,4236,4737,4498,4743,4488,1
,1650.0,12,3842,3455,4359,3443,4364,4466,19
,2280.0,1,3842,3950,4313,4382,3296,4759,11
,210.0,4,4364,4529,4466,4233,3885,4373,2
,280.0,5,3333,4498,4382,3296,4661,2380,1
,420.0,6,3455,4737,4008,4047,4479,4765,11
,1200.0,7,3950,3584,4743,4625,4759,4744,22
,2030.0,8,4208,4434,4529,4488,4313,4151,8
,11470.0,9,3902,4233,4525,3443,2380,4661,11
,8870.0,10,3379,3333,4015,4479,3234,4359,15
,880.0,11,4502,3842,4364,4208,4047,3559,13
,550.0,12,4008,3902,4488,4236,4466,3885,1
,1050.0,1,3443,3950,4674,4382,4757,4434,4
,970.0,2,4208,4525,4313,4502,4479,4744,11
,1160.0,3,4488,3584,4364,4151,4015,4661,4
,710.0,4,4236,4047,4359,3902,4759,4625,4
,560.0,5,3842,3885,4757,2380,4529,4765,6
,620.0,6,4466,3333,3379,4434,4008,3455,1
,1470.0,7,3234,4151,4479,4674,4737,4743,3
,190.0,8,4498,3296,4525,3559,4744,4373,3
,880.0,9,4233,4359,4529,3455,4661,4502,2
,1240.0,10,4015,3443,4488,4466,3842,4313,4
,480.0,11,4364,4498,4208,4759,3234,4737,2
,4340.0,12,4008,4236,3902,4233,3379,3584,8
,760.0,1,4498,3296,4743,4525,4765,4151,3
,290.0,2,4488,4382,4625,4047,4757,4674,3
,400.0,3,3379,2380,4008,4479,3333,4373,11
,780.0,4,3443,4737,3455,4529,4313,4661,3
,850.0,5,3885,4466,4759,4434,4744,4765,6
,580.0,6,3902,4502,3559,4359,4743,4757,6
,580.0,7,3584,4625,4674,3296,4151,3234,1
,2850.0,8,4047,4479,4382,2380,4529,4525,23
,610.0,9,3559,3455,3885,3333,4373,3950,1
,970.0,10,4466,3234,3902,3443,3379,4737,4
,210.0,11,4008,4498,4488,4759,3584,4313,1
,800.0,12,4364,4236,4015,4233,4208,3842,3
,230.0,1,3514,4020,4650,3293,4250,4691,1
,3480.0,2,3699,4145,3807,3946,3951,4697,11
