racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3358,2,1,47,0.197,0.22
3360,4,1,47,0.477,0.20
3361,2,1,47,0.288,0.17
3362,4,1,47,0.496,0.19
3363,1,1,52,0.068,0.23
3365,2,1,51,0.160,0.19
3370,2,1,50,0.230,0.18
3372,2,1,50,0.206,0.18
3373,2,1,49,0.198,0.19
3376,2,1,49,0.188,0.21
3377,3,1,49,0.362,0.20
3379,4,1,48,0.503,0.17
3381,3,1,48,0.444,0.15
3382,2,1,48,0.259,0.19
3385,4,1,47,0.515,0.18
3388,4,1,47,0.564,0.18
3391,3,1,51,0.359,0.16
3392,2,1,51,0.241,0.22
3393,2,1,51,0.150,0.20
3397,2,1,50,0.171,0.22
3398,2,1,49,0.134,0.21
3400,2,1,49,0.295,0.17
3401,3,1,49,0.455,0.17
3404,2,1,49,0.160,0.18
3406,3,1,48,0.363,0.15
3407,2,1,48,0.250,0.20
3408,1,1,47,0.152,0.19
3409,3,1,47,0.422,0.17
3411,2,1,47,0.195,0.16
3412,4,1,47,0.462,0.17
3414,3,1,47,0.398,0.17
3415,4,1,47,0.482,0.16
3417,2,1,47,0.136,0.18
3419,2,1,47,0.268,0.23
3422,4,1,45,0.512,0.16
3424,2,1,50,0.206,0.18
3425,1,1,50,0.119,0.21
3427,4,1,49,0.481,0.18
3430,3,1,48,0.435,0.16
3432,3,1,48,0.413,0.16
3433,2,1,48,0.268,0.21
3434,2,1,47,0.219,0.18
3435,4,0,47,0.492,0.16
3436,4,1,47,0.505,0.15
3439,4,1,47,0.490,0.16
3441,2,1,47,0.330,0.18
3442,4,1,47,0.450,0.15
3443,3,1,47,0.418,0.18
3444,2,1,47,0.258,0.16
3445,2,1,47,0.338,0.22
3446,2,0,47,0.052,0.24
3448,3,1,46,0.336,0.18
3452,3,1,46,0.395,0.16
3454,3,1,45,0.407,0.17
3455,2,1,45,0.310,0.18
3456,2,1,45,0.166,0.20
3458,3,1,50,0.325,0.15
3459,2,1,49,0.227,0.17
3460,2,1,49,0.283,0.16
3461,2,1,49,0.293,0.17
3462,3,1,49,0.470,0.16
3463,3,1,49,0.414,0.17
3465,2,1,49,0.118,0.24
3467,2,1,48,0.282,0.19
3469,2,0,47,0.127,0.23
3470,2,0,47,0.320,0.16
3471,2,1,46,0.188,0.21
3472,2,1,46,0.093,0.20
3473,4,1,46,0.584,0.14
3474,2,0,46,0.325,0.18
3475,3,1,46,0.390,0.18
3476,2,1,46,0.165,0.20
3477,2,1,46,0.339,0.19
3478,3,1,46,0.377,0.17
3480,2,1,46,0.202,0.20
3482,2,1,45,0.301,0.17
3483,1,0,45,0.095,0.24
3484,4,1,45,0.624,0.16
3485,2,1,45,0.333,0.18
3486,2,0,50,0.164,0.20
3488,3,1,49,0.380,0.13
3489,4,1,49,0.537,0.15
3491,2,1,49,0.188,0.22
3492,2,1,49,0.078,0.21
3493,2,1,48,0.288,0.18
3496,2,1,48,0.242,0.18
3497,3,1,48,0.405,0.17
3498,2,1,48,0.137,0.16
3499,4,1,48,0.443,0.13
3501,3,1,47,0.375,0.16
3502,4,1,47,0.541,0.18
3503,2,1,47,0.242,0.16
3505,4,1,45,0.459,0.17
3506,2,1,45,0.122,0.22
3507,2,1,45,0.315,0.18
3508,3,1,45,0.367,0.20
3509,2,0,45,0.240,0.15
3514,4,1,49,0.467,0.18
3516,3,1,49,0.404,0.16
3517,4,1,49,0.573,0.14
3518,2,0,48,0.340,0.21
3519,2,1,48,0.284,0.16
3521,2,1,48,0.078,0.19
3522,4,1,48,0.504,0.17
3523,2,1,48,0.328,0.18
3527,4,1,45,0.461,0.17
3528,2,0,45,0.178,0.18
3529,4,1,45,0.529,0.17
3532,4,1,45,0.554,0.17
3533,3,1,44,0.389,0.16
3534,4,1,44,0.488,0.14
3535,2,1,44,0.189,0.23
3536,2,1,50,0.247,0.17
3537,2,1,48,0.166,0.22
3538,3,1,48,0.380,0.18
3539,3,1,48,0.388,0.20
3540,1,1,48,0.142,0.22
3541,4,1,48,0.479,0.13
3542,2,1,48,0.294,0.18
3543,4,1,48,0.462,0.15
3544,2,1,48,0.277,0.18
3546,3,1,47,0.406,0.17
3548,3,1,46,0.456,0.12
3549,1,1,45,0.081,0.27
3550,3,1,45,0.452,0.17
3551,2,0,45,0.180,0.22
3552,3,1,45,0.363,0.17
3553,2,1,44,0.191,0.17
3554,4,1,44,0.529,0.16
3555,4,1,44,0.516,0.16
3556,4,1,44,0.509,0.16
3557,4,1,43,0.522,0.12
3558,3,1,43,0.376,0.18
3559,2,1,48,0.256,0.18
3560,2,1,48,0.243,0.19
3561,2,1,48,0.234,0.20
3562,4,1,47,0.529,0.17
