,racer_1_rank,racer_1_age,racer_1_doub,racer_1_ave_st,racer_2_rank,racer_2_age,racer_2_doub,racer_2_ave_st,racer_3_rank,racer_3_age,racer_3_doub,racer_3_ave_st,racer_4_rank,racer_4_age,racer_4_doub,racer_4_ave_st,racer_5_rank,racer_5_age,racer_5_doub,racer_5_ave_st,racer_6_rank,racer_6_age,racer_6_doub,racer_6_ave_st,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,racer_1_male_0,racer_1_male_1,racer_2_male_0,racer_2_male_1,racer_3_male_0,racer_3_male_1,racer_4_male_0,racer_4_male_1,racer_5_male_0,racer_5_male_1,racer_6_male_0,racer_6_male_1
12361,3,44.0,0.425,0.18,3,49.0,0.422,0.16,2,42.0,0.296,0.19,2,34.0,0.176,0.16,2,50.0,0.36,0.18,2,41.0,0.346,0.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12362,3,50.0,0.315,0.18,2,42.0,0.35,0.16,4,33.0,0.544,0.14,2,35.0,0.226,0.17,3,48.0,0.37,0.18,4,45.0,0.48,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12363,4,43.0,0.625,0.12,4,32.0,0.504,0.15,4,32.0,0.482,0.15,4,32.0,0.461,0.14,3,36.0,0.435,0.14,4,37.0,0.591,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12364,2,38.0,0.201,0.16,2,27.0,0.336,0.17,2,54.0,0.126,0.19,2,50.0,0.197,0.19,2,35.0,0.226,0.17,2,56.0,0.208,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12365,2,29.0,0.209,0.19,2,34.0,0.176,0.16,2,46.0,0.172,0.21,4,37.0,0.591,0.13,2,45.0,0.185,0.16,2,53.0,0.273,0.21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12366,2,34.0,0.25,0.2,4,33.0,0.484,0.15,2,38.0,0.188,0.18,4,32.0,0.504,0.15,4,31.0,0.475,0.13,2,48.0,0.159,0.17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12367,2,58.0,0.344,0.19,3,36.0,0.435,0.14,3,49.0,0.422,0.16,2,41.0,0.346,0.15,1,27.0,0.208,0.2,3,48.0,0.37,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12368,1,32.0,0.122,0.19,1,34.0,0.253,0.2,4,43.0,0.625,0.12,3,49.0,0.319,0.18,2,54.0,0.126,0.19,2,40.0,0.294,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12369,2,50.0,0.36,0.18,3,50.0,0.315,0.18,3,42.0,0.376,0.17,1,30.0,0.125,0.18,4,33.0,0.544,0.14,2,50.0,0.197,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12370,4,32.0,0.504,0.15,2,42.0,0.296,0.19,2,45.0,0.185,0.16,2,42.0,0.35,0.16,2,50.0,0.211,0.18,2,35.0,0.184,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12371,2,34.0,0.384,0.17,4,32.0,0.482,0.15,3,44.0,0.425,0.18,2,53.0,0.273,0.21,4,33.0,0.484,0.15,4,41.0,0.52,0.19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12372,3,49.0,0.319,0.18,2,41.0,0.346,0.15,2,32.0,0.308,0.17,4,45.0,0.48,0.18,2,34.0,0.25,0.2,2,27.0,0.336,0.17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12373,4,33.0,0.544,0.14,1,27.0,0.208,0.2,4,31.0,0.475,0.13,2,35.0,0.184,0.2,2,46.0,0.172,0.21,4,43.0,0.625,0.12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12374,4,37.0,0.591,0.13,2,43.0,0.25,0.17,2,50.0,0.36,0.18,4,41.0,0.52,0.19,2,58.0,0.344,0.19,2,38.0,0.188,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12375,1,27.0,0.208,0.2,1,30.0,0.125,0.18,2,34.0,0.176,0.16,2,45.0,0.185,0.16,2,50.0,0.197,0.19,2,50.0,0.211,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12376,2,48.0,0.159,0.17,2,38.0,0.201,0.16,2,43.0,0.25,0.17,4,32.0,0.482,0.15,2,40.0,0.294,0.2,2,35.0,0.226,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12377,3,42.0,0.376,0.17,4,45.0,0.48,0.18,2,35.0,0.184,0.2,4,31.0,0.475,0.13,2,32.0,0.308,0.17,4,32.0,0.461,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12378,2,54.0,0.126,0.19,2,34.0,0.384,0.17,3,36.0,0.435,0.14,1,36.0,0.279,0.14,3,49.0,0.319,0.18,4,33.0,0.484,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12379,2,42.0,0.296,0.19,2,40.0,0.294,0.2,4,32.0,0.504,0.15,1,34.0,0.253,0.2,1,30.0,0.125,0.18,3,50.0,0.315,0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12380,2,27.0,0.336,0.17,4,37.0,0.591,0.13,2,35.0,0.226,0.17,3,42.0,0.376,0.17,3,49.0,0.422,0.16,2,42.0,0.35,0.16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12381,4,45.0,0.48,0.18,2,50.0,0.211,0.18,2,53.0,0.273,0.21,2,38.0,0.201,0.16,2,56.0,0.208,0.2,2,46.0,0.172,0.21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12382,4,31.0,0.475,0.13,4,43.0,0.625,0.12,1,36.0,0.279,0.14,3,50.0,0.315,0.18,1,32.0,0.122,0.19,2,43.0,0.25,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12383,4,41.0,0.52,0.19,4,32.0,0.461,0.14,3,48.0,0.37,0.18,2,48.0,0.159,0.17,2,34.0,0.384,0.17,2,50.0,0.36,0.18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12384,2,41.0,0.346,0.15,3,49.0,0.319,0.18,2,42.0,0.35,0.16,2,58.0,0.344,0.19,2,38.0,0.188,0.18,4,32.0,0.504,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12385,2,32.0,0.308,0.17,2,29.0,0.209,0.19,4,33.0,0.484,0.15,2,34.0,0.25,0.2,4,43.0,0.625,0.12,3,44.0,0.425,0.18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12386,2,53.0,0.273,0.21,2,48.0,0.159,0.17,1,34.0,0.253,0.2,1,27.0,0.208,0.2,2,34.0,0.176,0.16,2,40.0,0.294,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12387,2,42.0,0.35,0.16,3,48.0,0.37,0.18,4,33.0,0.484,0.15,2,54.0,0.126,0.19,4,32.0,0.482,0.15,2,29.0,0.209,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12388,2,35.0,0.184,0.2,3,49.0,0.319,0.18,4,41.0,0.52,0.19,4,33.0,0.544,0.14,4,32.0,0.461,0.14,1,30.0,0.125,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12389,2,50.0,0.211,0.18,2,50.0,0.36,0.18,1,27.0,0.208,0.2,4,32.0,0.504,0.15,3,44.0,0.425,0.18,2,34.0,0.25,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12390,2,50.0,0.197,0.19,2,38.0,0.188,0.18,3,50.0,0.315,0.18,2,32.0,0.308,0.17,4,37.0,0.591,0.13,1,32.0,0.122,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12391,3,49.0,0.422,0.16,2,35.0,0.184,0.2,2,56.0,0.208,0.2,2,29.0,0.209,0.19,1,34.0,0.253,0.2,2,27.0,0.336,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12392,2,34.0,0.176,0.16,4,32.0,0.461,0.14,4,45.0,0.48,0.18,2,46.0,0.172,0.21,2,41.0,0.346,0.15,2,54.0,0.126,0.19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12393,2,38.0,0.188,0.18,2,35.0,0.226,0.17,4,32.0,0.482,0.15,2,50.0,0.36,0.18,4,41.0,0.52,0.19,2,58.0,0.344,0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12394,3,48.0,0.37,0.18,4,31.0,0.475,0.13,4,37.0,0.591,0.13,2,42.0,0.296,0.19,2,53.0,0.273,0.21,3,49.0,0.319,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12395,4,43.0,0.625,0.12,4,33.0,0.544,0.14,2,34.0,0.384,0.17,3,50.0,0.315,0.18,4,45.0,0.48,0.18,3,42.0,0.376,0.17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12396,2,40.0,0.294,0.2,2,53.0,0.273,0.21,2,48.0,0.159,0.17,2,54.0,0.126,0.19,2,34.0,0.25,0.2,1,32.0,0.122,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12397,2,27.0,0.336,0.17,1,34.0,0.253,0.2,2,35.0,0.226,0.17,4,32.0,0.461,0.14,2,46.0,0.171,0.19,2,50.0,0.197,0.19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12398,2,35.0,0.184,0.2,2,42.0,0.296,0.19,1,30.0,0.125,0.18,1,27.0,0.208,0.2,2,50.0,0.36,0.18,2,34.0,0.176,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12399,2,38.0,0.201,0.16,3,44.0,0.425,0.18,1,32.0,0.122,0.19,2,39.0,0.173,0.19,3,49.0,0.319,0.18,2,56.0,0.208,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12400,2,50.0,0.211,0.18,2,46.0,0.171,0.19,2,54.0,0.126,0.19,2,40.0,0.294,0.2,4,32.0,0.482,0.15,2,43.0,0.25,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12401,4,32.0,0.461,0.14,2,34.0,0.25,0.2,2,50.0,0.197,0.19,2,46.0,0.172,0.21,2,53.0,0.273,0.21,1,30.0,0.125,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12402,3,49.0,0.319,0.18,2,39.0,0.173,0.19,2,27.0,0.336,0.17,2,35.0,0.184,0.2,1,34.0,0.253,0.2,2,48.0,0.159,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12403,1,27.0,0.208,0.2,4,32.0,0.482,0.15,2,34.0,0.176,0.16,2,35.0,0.226,0.17,2,56.0,0.208,0.2,3,44.0,0.425,0.18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12404,2,46.0,0.172,0.21,2,50.0,0.36,0.18,2,50.0,0.211,0.18,2,38.0,0.201,0.16,2,42.0,0.296,0.19,2,41.0,0.346,0.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12405,2,34.0,0.384,0.17,4,37.0,0.591,0.13,3,42.0,0.376,0.17,4,45.0,0.48,0.18,1,36.0,0.279,0.14,4,31.0,0.475,0.13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12406,4,32.0,0.504,0.15,3,49.0,0.422,0.16,2,32.0,0.308,0.17,2,38.0,0.188,0.18,3,50.0,0.315,0.18,2,42.0,0.35,0.16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
