,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
50,0.0,0.0,0.0,0.0,0.0,43,2020-04-06,2020,4,6,5,5,sp,0,0,1720.0
51,0.0,0.0,0.0,0.0,0.0,1,2020-04-06,2020,4,6,5,5,sp,0,0,560.0
52,0.0,0.0,0.0,0.0,0.0,23,2020-04-06,2020,4,6,5,5,sp,0,0,3240.0
53,1.0,0.0,1.0,0.0,0.0,81,2020-04-06,2020,4,6,5,5,sp,0,2,49800.0
54,0.0,0.0,0.0,0.0,0.0,5,2020-04-06,2020,4,6,5,5,sp,0,0,2180.0
55,0.0,1.0,0.0,0.0,0.0,16,2020-04-06,2020,4,6,5,5,sp,0,1,5130.0
56,0.0,1.0,1.0,0.0,0.0,61,2020-04-06,2020,4,6,5,5,sp,0,2,15470.0
57,0.0,0.0,0.0,0.0,0.0,73,2020-04-14,2020,4,14,1,6,sp,0,0,4690.0
58,0.0,0.0,0.0,0.0,0.0,10,2020-04-14,2020,4,14,1,6,sp,0,0,2360.0
59,0.0,0.0,0.0,0.0,0.0,5,2020-04-14,2020,4,14,1,6,sp,0,0,2130.0
60,0.0,0.0,0.0,0.0,0.0,36,2020-04-14,2020,4,14,1,6,sp,0,0,2220.0
61,0.0,0.0,0.0,0.0,0.0,42,2020-04-14,2020,4,14,1,6,sp,0,0,690.0
62,0.0,0.0,0.0,0.0,0.0,68,2020-04-14,2020,4,14,1,6,sp,0,0,6650.0
63,0.0,0.0,0.0,0.0,0.0,60,2020-04-14,2020,4,14,1,6,sp,0,0,11930.0
64,0.0,0.0,0.0,0.0,0.0,6,2020-04-14,2020,4,14,1,6,sp,0,0,1240.0
65,0.0,0.0,0.0,0.0,0.0,2,2020-04-14,2020,4,14,1,6,sp,0,0,820.0
66,0.0,1.0,0.0,0.0,0.0,97,2020-04-14,2020,4,14,1,6,sp,0,1,22320.0
67,0.0,0.0,0.0,0.0,0.0,5,2020-04-14,2020,4,14,1,6,sp,0,0,2420.0
68,0.0,0.0,0.0,0.0,0.0,56,2020-04-15,2020,4,15,2,6,sp,0,0,12970.0
69,0.0,0.0,0.0,0.0,0.0,3,2020-04-15,2020,4,15,2,6,sp,0,0,1110.0
70,0.0,0.0,0.0,0.0,0.0,51,2020-04-15,2020,4,15,2,6,sp,0,0,2830.0
