,proba,pred,result,bet,buy_flag,money,gain,date,month,hit_flag,year,day,num_date,range_date,season
19468,0.2846943636331524,0.0,0.0,0.0,0.0,5810.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19469,0.5267950683401995,0.6656734868253977,0.0,6700.0,1.0,1540.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19470,0.35722117242662654,0.12904491490327552,0.0,1300.0,1.0,1890.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19471,0.20208355476777756,0.0,0.0,0.0,0.0,530.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19472,0.2885225306310225,0.0,0.0,0.0,0.0,2830.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19473,0.15722558874564474,0.0,0.0,0.0,0.0,540.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19474,0.3228634740048974,0.020317551300209846,0.0,200.0,1.0,400.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19475,0.2809654160075931,0.0,0.0,0.0,0.0,9130.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19476,0.2035090690253616,0.0,0.0,0.0,0.0,1230.0,0.0,2021-01-06,1,0,2021,6,4,6,wi
19477,0.37058907825790804,0.17134859718398565,0.0,1700.0,1.0,1190.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19478,0.39263133896709834,0.2411028882119901,0.0,2400.0,1.0,1540.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19479,0.4272907717548056,0.3507851115300038,0.0,3500.0,1.0,64490.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19480,0.2801448506574314,0.0,0.0,0.0,0.0,1950.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19481,0.2432439350234758,0.0,0.0,0.0,0.0,1260.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19482,0.2967270830447713,0.0,0.0,0.0,0.0,790.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19483,0.3278304251398896,0.03603581902071018,0.0,400.0,1.0,1160.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19484,0.3317470651539816,0.04843030300759987,0.0,500.0,1.0,490.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19485,0.24193795990003555,0.0,0.0,0.0,0.0,5230.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19486,0.3423306024586292,0.08192265440449265,0.0,800.0,1.0,1110.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19487,0.33208732034518257,0.04950706459498666,0.0,500.0,1.0,1830.0,0.0,2021-01-07,1,0,2021,7,5,6,wi
19488,0.2757351441429796,0.0,0.0,0.0,0.0,1210.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19489,0.2594584845100992,0.0,0.0,0.0,0.0,6140.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19490,0.2866421145512807,0.0,0.0,0.0,0.0,840.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19491,0.33368750980719225,0.05457097718115933,0.0,500.0,1.0,2420.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19492,0.3415208840993974,0.07936024346009152,0.0,800.0,1.0,1560.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19493,0.43168412896809205,0.3646882007679326,0.0,3600.0,1.0,5310.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19494,0.3447548769027221,0.08959444212790468,0.0,900.0,1.0,730.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19495,0.17709137079035434,0.0,0.0,0.0,0.0,1150.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19496,0.23836259148165426,0.0,0.0,0.0,0.0,1130.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19497,0.2727642839123195,0.0,0.0,0.0,0.0,6270.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19498,0.2342068111163788,0.0,0.0,0.0,0.0,1310.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19499,0.4403017313672674,0.3919592122874125,0.0,3900.0,1.0,950.0,0.0,2021-01-08,1,0,2021,8,6,6,wi
19500,0.27038185571775,0.0,0.0,0.0,0.0,530.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19501,0.3314538050754383,0.04750226077384312,0.0,500.0,1.0,6170.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19502,0.5076903634924599,0.6052152988230335,0.0,6100.0,1.0,56630.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19503,0.48447246198962135,0.5317406094590116,0.0,5300.0,1.0,68170.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19504,0.27613345976979337,0.0,0.0,0.0,0.0,1330.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19505,0.2956330189615813,0.0,0.0,0.0,0.0,830.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
19506,0.2219664879681467,0.0,0.0,0.0,0.0,810.0,0.0,2021-01-14,1,0,2021,14,1,4,wi
