,target_com,depth,target_per,total_get_test1,total_use_test1,num_com_test1,num_pred_test1,gain_test1,gain_std_test1,num_hit_test1,buy_hit_per_test1,buy_hit_per_std_test1,plus_month_num_test1,diff_mea_med_test1,total_get_test2,total_use_test2,num_com_test2,num_pred_test2,gain_test2,gain_std_test2,num_hit_test2,buy_hit_per_test2,buy_hit_per_std_test2,plus_month_num_test2,diff_mea_med_test2,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
0,1.0,5.0,81.0,2200000.0,1991000.0,224.0,1147.0,110.49723756906079,29.81002952469648,148.0,12.903225806451612,0.32479725573650375,8.0,2257.2537974008555,1705990.0,1747400.0,201.0,1075.0,97.6301934302392,34.01979175582735,140.0,13.023255813953488,0.3664118801245253,6.0,1942.1673141673145,1680330.0,1889300.0,199.0,1161.0,88.93928968400995,28.671586850984053,133.0,11.455641688199828,0.16200904237650743,4.0,897.1826044326062
1,1.0,5.0,82.0,2267300.0,2034200.0,224.0,1147.0,111.45905024088094,31.215637374847187,148.0,12.903225806451612,0.29584988886252767,8.0,1774.8452625805567,1668030.0,1737400.0,201.0,1075.0,96.00725221595488,37.77458164235098,139.0,12.930232558139535,0.3445591562807964,6.0,1439.0221639743686,1727940.0,1913900.0,199.0,1161.0,90.283713882648,28.74799711751357,135.0,11.627906976744185,0.16880480101252918,5.0,1472.4672121859621
2,1.0,5.0,83.0,2254510.0,2037500.0,224.0,1147.0,110.65079754601229,34.7233278573344,148.0,12.903225806451612,0.26893321033664697,9.0,2757.36372287843,1682300.0,1726300.0,201.0,1075.0,97.45119619996524,38.68278222101712,139.0,12.930232558139535,0.3513417257366455,5.0,1497.584146517971,1719360.0,1924400.0,199.0,1161.0,89.34525046767824,29.149919451757015,132.0,11.369509043927648,0.1558198163192577,5.0,1394.2175925925912
3,1.0,5.0,84.0,2340590.0,2100600.0,224.0,1147.0,111.42483100066647,32.18303437692415,145.0,12.641673931996515,0.2561011204567983,8.0,1967.2953088578088,1747700.0,1790100.0,201.0,1075.0,97.63141723926037,38.91317401297826,137.0,12.744186046511627,0.3353023770987033,6.0,2003.9585779144618,1768570.0,1926000.0,199.0,1161.0,91.82606438213915,30.38749162166088,130.0,11.19724375538329,0.21044757388146315,5.0,1347.6218607781084
4,1.0,5.0,85.0,2320970.0,2109300.0,224.0,1147.0,110.0350827288674,32.00905393517509,146.0,12.728857890148213,0.2851457906387049,7.0,1420.6769872964724,1732140.0,1824300.0,201.0,1075.0,94.94819930932412,33.68637932052441,135.0,12.558139534883722,0.3681076206953382,6.0,1121.811462789019,1817730.0,2006300.0,199.0,1161.0,90.6011065144794,29.144948603426947,135.0,11.627906976744185,0.19477477039907215,5.0,1207.4921513671507
5,1.0,5.0,86.0,2371580.0,2088700.0,224.0,1147.0,113.54335232441231,31.00610975362937,148.0,12.903225806451612,0.3027757915586524,8.0,1976.351706164207,1758590.0,1826300.0,201.0,1075.0,96.29250396977496,36.3033743441096,136.0,12.651162790697674,0.36641188012452536,5.0,1990.7191709434355,1776240.0,1983000.0,199.0,1161.0,89.57337367624811,26.21570585943411,133.0,11.455641688199828,0.1993381950618409,6.0,1047.9627982311813
6,1.0,5.0,87.0,2430730.0,2143900.0,224.0,1147.0,113.37888894071553,32.38555749972598,152.0,13.251961639058413,0.2863548948210452,8.0,1022.741381575941,1778870.0,1822500.0,201.0,1075.0,97.60603566529493,38.73598265319364,138.0,12.837209302325581,0.3689081456437588,6.0,1526.9006919006915,1854420.0,2027000.0,199.0,1161.0,91.48593981253083,27.92289278387922,127.0,10.938845822566753,0.1661198616410119,5.0,1309.4780844155848
7,1.0,5.0,88.0,2339220.0,2089600.0,224.0,1147.0,111.9458269525268,32.04859927121764,148.0,12.903225806451612,0.28393153761069295,9.0,1413.4416335978804,1772840.0,1824500.0,201.0,1075.0,97.1685393258427,35.761598178402345,135.0,12.558139534883722,0.34150144384365816,6.0,1006.4743765006933,1801410.0,1976500.0,199.0,1161.0,91.14141158613711,30.692820816272956,126.0,10.852713178294573,0.1621824068374284,5.0,721.6862258112251
8,1.0,5.0,89.0,2416370.0,2151900.0,224.0,1147.0,112.29006924113574,28.36538853097772,147.0,12.816041848299914,0.3157171330530161,9.0,1334.2553742553737,1752590.0,1885100.0,201.0,1075.0,92.97066468622354,36.495618068714016,137.0,12.744186046511627,0.4130871202425751,6.0,1634.7805597180595,1844830.0,2007800.0,199.0,1161.0,91.88315569279808,28.09110625628698,133.0,11.455641688199828,0.19933819506184094,5.0,1304.7244480057016
9,1.0,5.0,90.0,2564310.0,2252200.0,224.0,1147.0,113.85800550572773,32.74255070860309,151.0,13.164777680906713,0.3098256834660694,8.0,1514.1943796943797,1827030.0,1920700.0,201.0,1075.0,95.12313219138856,34.967892748802186,138.0,12.837209302325581,0.38354470935978247,6.0,1336.1057854182854,1859870.0,2077600.0,199.0,1161.0,89.52011936850212,28.641333017611966,130.0,11.19724375538329,0.20060295484604906,6.0,1287.3734783734762
