,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,350.0,2,3295,4396,4587,4364,3729,4942,16
,9710.0,3,3360,3587,4361,2903,4263,4949,19
,420.0,4,4445,3283,3870,3333,3820,3912,2
,180.0,5,4657,4013,4196,4968,4222,4079,1
,360.0,6,3921,3379,4571,3788,4587,3508,2
,970.0,7,4353,3661,4333,4949,4692,4879,2
,1110.0,8,3955,4006,4263,4339,4942,3820,6
,210.0,9,4122,4079,3224,3283,3711,3587,1
,160.0,10,4361,4445,4396,4571,4196,3379,1
,390.0,11,4013,3788,3333,3295,3661,3360,3
,310.0,12,4364,3955,4108,3921,4657,3870,2
,390.0,1,3360,3729,4692,4396,4968,4985,1
,230.0,2,4657,4339,3283,4122,4879,4942,3
,450.0,3,3224,4333,3379,3974,3333,4684,2
,170.0,4,4571,2903,3508,3711,3820,4949,1
,170.0,5,3912,3955,3661,3587,4263,4692,1
,17730.0,6,3921,4222,3729,3870,4006,3283,12
,490.0,7,3974,4353,4339,4196,4333,4968,3
,250.0,8,3788,4684,3711,4079,4985,4879,3
,780.0,9,4263,4006,2903,3224,4122,4587,6
,1900.0,10,3661,3921,4396,4657,4571,3333,17
,270.0,11,3955,4196,3788,3379,3360,3870,2
,3700.0,12,4364,4013,4361,4445,4108,3295,12
,2600.0,1,4148,4632,3825,4640,4932,5008,16
,200.0,2,4522,2816,3928,4504,4952,4612,3
,290.0,3,4402,4487,4350,4272,4497,3858,2
,430.0,4,4831,4355,3434,4506,4393,4996,1
,320.0,5,4336,4351,4640,4250,4552,4899,6
,6190.0,6,3953,4301,4288,4632,3928,4189,8
,820.0,7,4272,4555,4932,3593,4060,4952,3
,340.0,8,3853,4234,4495,4487,4544,3352,4
,990.0,9,3825,4736,4402,4899,2816,4566,7
,1510.0,11,4351,4497,4060,4831,4301,4495,4
,1430.0,12,4350,4189,4544,4522,4148,4736,4
,200.0,1,4189,4612,4355,4996,4899,4552,2
,1910.0,2,4288,4250,4234,4544,3953,4272,20
,2530.0,3,4506,4393,4301,4952,4504,3593,22
,490.0,4,4566,4363,4632,4555,3352,3825,2
,630.0,5,4495,4148,4612,2816,3434,4831,6
,2080.0,6,4060,4037,4552,4402,4522,4932,2
,400.0,7,4393,3928,3858,3953,4487,4640,2
,340.0,8,4497,4336,4555,3853,4996,4250,3
,1770.0,9,3434,4506,4189,4351,5008,4234,16
,310.0,10,4736,4504,4037,3352,4495,4350,1
,530.0,11,4544,3593,4148,4355,4336,4363,4
,810.0,12,3853,4831,4288,4566,4351,4402,2
,280.0,1,4522,4060,4640,4952,5008,4487,2
,590.0,2,4402,4272,2816,4350,4632,4555,1
,200.0,3,4301,3825,4831,4899,4506,4996,2
,180.0,4,4504,4288,4612,4932,4736,4393,1
,260.0,5,4037,4566,3953,3858,4363,4060,6
,3840.0,6,2816,4495,4487,3928,4351,3853,29
,840.0,7,4632,3434,4250,4552,4952,3352,5
,3270.0,8,4148,4234,3593,5008,3825,4288,30
,540.0,9,3858,4522,4506,4497,4402,3928,1
,200.0,10,4544,4932,4566,4301,4355,4351,2
,500.0,11,4189,4037,3853,4736,4272,4336,1
,620.0,12,4831,4350,4363,4148,4640,4497,3
,230.0,1,4288,4555,3593,3352,4899,2816,1
,300.0,3,4336,4552,4497,3825,4350,3434,2
,500.0,4,4351,4355,3858,4037,4189,4952,1
,220.0,5,4363,4504,4272,4555,4996,4301,1
,14460.0,6,3593,4250,4506,4393,4566,4544,8
,280.0,8,4495,4640,4522,3434,3853,4355,2
,1010.0,9,4932,4402,4552,4234,4831,4504,2
,1180.0,10,4497,4544,4736,4060,3352,4148,5
,5460.0,11,4566,4301,4336,4189,4612,4522,13
,700.0,12,4350,3853,4393,4363,4288,4037,3
,250.0,1,4831,3928,4250,2816,4234,3352,1
,590.0,2,4544,4272,3825,4402,4996,4899,2
,560.0,3,4189,3858,4148,4612,4288,4932,1
,480.0,4,4350,3434,4632,4351,4506,4952,1
,770.0,5,4301,3853,3953,4060,4336,4487,4
,610.0,6,4037,4497,4393,4522,3928,4495,6
,320.0,7,4640,2816,4355,3825,3858,5008,2
,220.0,9,4504,4060,4037,4250,4555,4736,2
,3130.0,10,4351,4336,4544,4288,4393,4640,7
,330.0,11,4522,4148,4402,4566,4350,4301,1
,430.0,12,3853,4189,4497,4363,4831,4272,2
,190.0,1,4288,3434,4234,4355,5008,4555,1
,260.0,2,4350,4612,4272,4736,3352,4487,2
,430.0,3,4037,3953,4566,4632,4351,4552,11
,10040.0,5,4831,4402,4555,3593,3858,4996,16
,520.0,6,4301,4189,4495,4952,4060,5008,2
,2950.0,7,4355,4393,4250,3953,4612,3352,17
,4690.0,9,4495,3593,4899,4504,3434,4363,24
,350.0,10,4402,4288,4301,4393,4272,4037,2
,1920.0,11,4351,4831,4350,4189,4566,4640,4
,340.0,12,3853,4336,4522,4544,4497,4148,3
,8020.0,1,3777,3658,3537,3006,3273,4892,19
,220.0,2,4302,3370,4639,3574,4951,4631,3
