,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,1540.0,1,3684,3338,3005,4457,3372,4632,5
,240.0,2,3233,3170,2997,2992,4774,3368,3
,2420.0,3,4167,4663,4488,3614,4236,4777,18
,1720.0,4,3290,3434,4410,4191,3535,4745,11
,1120.0,5,3572,4292,3372,3789,4331,4753,2
,2070.0,6,2816,3397,4012,2876,3477,3862,1
,1160.0,7,3005,4047,3641,2997,4472,4163,11
,520.0,8,3514,3614,3535,3368,4632,3189,2
,600.0,9,3660,3789,4457,4663,4595,4774,2
,5760.0,10,4191,3684,4331,3233,4488,4356,26
,1150.0,12,2992,3290,3514,3572,3641,4236,11
,1930.0,1,4191,3189,3368,4753,3338,4595,5
,860.0,2,3477,4331,3397,3290,4663,3170,1
,1230.0,3,4163,3535,2992,4012,4167,3660,3
,180.0,4,4236,4488,3233,2816,4047,4774,1
,170.0,5,4356,3514,3789,3338,4777,3745,1
,3460.0,6,3189,3572,3614,3641,2876,4292,20
,8220.0,7,2997,2992,3434,4191,3005,3684,18
,290.0,8,3862,2816,4595,3660,3170,4745,1
,3980.0,9,4012,3372,3535,3397,4632,4753,6
,840.0,10,4472,4236,3290,4163,4457,2876,2
,530.0,11,4410,4356,3477,3572,3434,3233,6
,520.0,12,3641,3862,4167,3514,3684,4047,1
,290.0,1,3514,4457,3368,3535,3789,4753,3
,1930.0,2,4410,4331,3005,3641,3614,2816,2
,1120.0,3,3434,4595,3572,3372,4163,4745,21
,230.0,4,2992,4663,3862,4356,3397,4777,2
,1040.0,5,4047,4236,4457,2997,3660,4632,10
,1240.0,6,3368,3005,4488,3290,4191,3745,23
,810.0,7,3338,3514,3477,4472,3233,3372,17
,480.0,8,3684,3189,4331,4663,4745,3535,1
,5860.0,9,3170,2997,3789,4774,4777,3614,20
,2000.0,10,4356,2876,4163,3434,3641,4012,14
,2640.0,11,4488,4167,3290,2992,3477,4292,17
,1290.0,12,3572,4472,4410,4236,3862,4191,6
,10350.0,1,3233,4457,4663,3660,3745,4774,12
,1610.0,2,3434,3372,4012,3290,2816,4777,14
,1130.0,3,2876,3397,2992,3170,3684,4753,4
,790.0,4,3641,4472,4356,4595,3189,4292,6
,180.0,5,4236,4163,3338,4632,4774,3005,1
,960.0,6,4331,3572,4191,4167,3514,4488,9
,2690.0,7,3614,2992,3477,3862,4410,4745,21
,260.0,8,4472,3789,2816,3397,2997,3745,2
,240.0,9,3535,3660,3170,3189,3368,3338,2
,12200.0,10,3862,4012,3514,3572,4292,4632,23
,5110.0,11,4163,3641,3684,4488,4191,4410,8
,5340.0,12,3290,3233,4236,2876,4356,4167,5
,2000.0,1,4356,3005,4012,4595,3397,4774,3
,370.0,2,3290,3789,3535,3477,4753,4663,3
,210.0,3,4236,3170,3684,2997,3434,4331,2
,420.0,4,3572,4167,3614,3372,4163,3745,2
,190.0,5,4410,3514,3660,2816,4632,4745,1
,16130.0,6,2992,3368,3477,4488,3189,4292,28
,8250.0,7,2876,3862,3233,3641,4472,3434,20
,2170.0,8,4191,3338,4595,3535,4331,4777,6
,4050.0,9,4457,3372,2997,3005,4745,4753,21
,320.0,11,4472,4163,2992,4012,3614,3233,2
,1470.0,12,3514,4191,3572,3290,3862,4457,11
,360.0,1,3862,3368,3170,3660,4632,4774,4
,1680.0,2,4191,3189,4595,2876,2816,4745,24
,1680.0,3,4167,3397,3434,3745,4292,4753,16
,410.0,4,3290,3005,3338,3789,4012,4777,4
,350.0,5,3233,4163,2997,4663,4774,3535,6
,840.0,6,3684,4457,3189,4632,3372,4356,26
,290.0,8,4236,3660,3789,3368,4777,3745,1
,1570.0,9,3397,3170,4663,2816,4745,3338,1
