,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,5280.0,6,3469,47.0,70.0,3334,12.0,60.0,4642,45.0,23.0,4243,25.0,34.0,3611,16.0,51.0,4443,33.0,36.0,27
,1990.0,7,3117,32.0,18.0,4385,55.0,61.0,4738,39.0,46.0,4806,1.0,67.0,3604,51.0,25.0,4913,28.0,22.0,33
,1460.0,9,3528,50.0,48.0,4243,25.0,34.0,3175,57.0,63.0,3674,63.0,62.0,3483,19.0,64.0,3509,5.0,29.0,2
,2400.0,10,4098,10.0,52.0,4556,4.0,15.0,4283,44.0,32.0,3302,2.0,73.0,4733,20.0,71.0,3801,42.0,56.0,65
,4140.0,12,3435,11.0,11.0,3518,17.0,49.0,3845,31.0,40.0,3611,16.0,51.0,3994,60.0,74.0,3674,63.0,62.0,11
,5630.0,1,3579,24.0,30.0,4283,44.0,32.0,4443,33.0,36.0,4385,55.0,61.0,3299,43.0,28.0,3693,7.0,39.0,44
,28190.0,2,4243,25.0,34.0,3604,51.0,25.0,3469,47.0,70.0,3801,42.0,56.0,4819,40.0,24.0,4884,58.0,54.0,49
,4030.0,3,3302,2.0,73.0,3483,19.0,64.0,3674,63.0,62.0,3355,6.0,41.0,3618,54.0,31.0,4829,53.0,42.0,15
,560.0,4,3435,11.0,11.0,3169,8.0,59.0,4304,49.0,17.0,4733,20.0,71.0,4773,29.0,57.0,4806,1.0,67.0,7
,840.0,5,3334,12.0,60.0,3188,22.0,14.0,3693,7.0,39.0,4098,10.0,52.0,4784,48.0,75.0,3528,50.0,48.0,21
,1740.0,6,3845,31.0,40.0,4071,37.0,65.0,4385,55.0,16.0,4819,40.0,24.0,3518,17.0,49.0,2983,52.0,13.0,16
,1240.0,7,4642,45.0,23.0,3994,60.0,74.0,3355,6.0,41.0,3509,5.0,29.0,4738,39.0,46.0,3299,43.0,28.0,3
,1610.0,8,4556,4.0,15.0,4733,20.0,71.0,3175,57.0,63.0,4829,53.0,42.0,4443,33.0,36.0,4913,28.0,22.0,13
,990.0,9,3611,16.0,51.0,3469,47.0,70.0,3169,8.0,33.0,3254,35.0,38.0,3117,32.0,18.0,4098,10.0,52.0,9
,440.0,10,4304,49.0,17.0,3302,2.0,73.0,3579,24.0,30.0,3334,12.0,60.0,3801,42.0,56.0,3994,60.0,74.0,1
,1850.0,11,3674,63.0,62.0,3435,11.0,11.0,4243,25.0,34.0,4556,4.0,15.0,4642,45.0,23.0,4071,37.0,65.0,9
,510.0,12,3188,22.0,14.0,3611,16.0,51.0,3845,31.0,40.0,3528,50.0,48.0,3604,51.0,25.0,3175,57.0,63.0,5
,2910.0,1,3334,12.0,60.0,4738,39.0,46.0,3117,32.0,18.0,3693,7.0,39.0,4806,1.0,67.0,4829,53.0,42.0,22
,2890.0,2,3175,57.0,63.0,3254,35.0,38.0,4773,29.0,57.0,3618,54.0,31.0,4784,48.0,75.0,3509,5.0,29.0,29
,20570.0,3,3801,42.0,56.0,4443,33.0,36.0,4071,37.0,65.0,4733,20.0,71.0,3994,60.0,74.0,4884,58.0,54.0,75
,1540.0,4,3579,24.0,30.0,3299,43.0,28.0,4098,10.0,52.0,3483,19.0,64.0,4385,55.0,16.0,4913,28.0,22.0,5
,18200.0,5,3518,17.0,49.0,3435,11.0,11.0,4283,44.0,32.0,4829,53.0,42.0,3355,6.0,41.0,4642,45.0,23.0,31
,4410.0,6,3528,50.0,48.0,3611,16.0,51.0,3693,7.0,39.0,3509,5.0,29.0,2983,52.0,13.0,3169,8.0,33.0,35
,3230.0,7,3604,51.0,25.0,3469,47.0,70.0,3254,35.0,38.0,4773,29.0,57.0,4884,58.0,54.0,4819,40.0,24.0,25
,390.0,8,4243,25.0,34.0,3117,32.0,18.0,4733,20.0,71.0,4738,39.0,46.0,4913,28.0,22.0,4784,48.0,75.0,6
,8750.0,9,4283,44.0,32.0,3518,17.0,49.0,3483,19.0,64.0,4443,33.0,36.0,3618,54.0,31.0,4806,1.0,67.0,90
,540.0,10,3611,16.0,51.0,3579,24.0,30.0,4642,45.0,23.0,3528,50.0,48.0,3801,42.0,56.0,4071,37.0,65.0,1
