,target_com,target_per,total_get_year1,total_use_year1,num_com_year1,num_pred_year1,num_hit_year1,buy_hit_per_year1,gain_year1,total_get_year2,total_use_year2,num_com_year2,num_pred_year2,num_hit_year2,buy_hit_per_year2,gain_year2,gain_year3
0,3.0,200.0,139300.0,174900.0,104.0,1749.0,95.0,5.431675242995998,79.64551172098342,160470.0,176700.0,83.0,1767.0,71.0,4.018109790605546,90.81494057724959,
1,3.0,300.0,158600.0,211900.0,104.0,2119.0,104.0,4.9079754601226995,74.84662576687117,204640.0,218400.0,83.0,2184.0,83.0,3.8003663003663,93.6996336996337,
2,3.0,600.0,158600.0,210100.0,104.0,2101.0,104.0,4.950023798191337,75.48786292241789,201820.0,216900.0,83.0,2169.0,82.0,3.780544029506685,93.04748732134624,
3,3.0,900.0,143370.0,199900.0,104.0,1999.0,96.0,4.8024012006003005,71.72086043021511,193900.0,204100.0,83.0,2041.0,80.0,3.9196472317491424,95.00244977951985,
4,3.0,1100.0,154720.0,211400.0,104.0,2114.0,103.0,4.872280037842952,73.18826868495742,201820.0,217600.0,83.0,2176.0,82.0,3.768382352941176,92.74816176470588,
5,3.0,3100.0,158600.0,211000.0,104.0,2110.0,104.0,4.928909952606635,75.16587677725119,204640.0,217500.0,83.0,2175.0,83.0,3.8160919540229883,94.08735632183908,
6,3.0,5100.0,109500.0,133200.0,104.0,1332.0,68.0,5.105105105105105,82.2072072072072,109340.0,132000.0,83.0,1320.0,51.0,3.8636363636363633,82.83333333333334,
