,measure,machine,target_com,target_per,total_get_year1,total_use_year1,num_com_year1,num_pred_year1,num_hit_year1,buy_hit_per_year1,gain_year1,total_get_year2,total_use_year2,num_com_year2,num_pred_year2,num_hit_year2,buy_hit_per_year2,gain_year2,gain_year3
0,F1,knn,3.0,3100.0,151600.0,202200.0,104.0,2022.0,98.0,4.8466864490603365,74.97527200791295,198040.0,205500.0,83.0,2055.0,79.0,3.8442822384428226,96.3698296836983,
1,F1,ada,3.0,3100.0,94480.0,100100.0,104.0,1001.0,75.0,7.492507492507492,94.38561438561437,50940.0,91600.0,83.0,916.0,36.0,3.9301310043668125,55.61135371179039,
2,F1,gbc,3.0,3100.0,52200.0,45500.0,104.0,455.0,56.0,12.307692307692308,114.72527472527472,25350.0,41300.0,83.0,413.0,21.0,5.084745762711865,61.38014527845036,
3,F1,rf,3.0,3100.0,0.0,0.0,104.0,0.0,0.0,,,0.0,0.0,83.0,0.0,0.0,,,
4,Precision,knn,3.0,3100.0,95180.0,102300.0,104.0,1023.0,56.0,5.474095796676441,93.04007820136853,93160.0,99800.0,83.0,998.0,39.0,3.9078156312625247,93.34669338677355,
5,Precision,ada,3.0,3100.0,36740.0,23200.0,104.0,232.0,42.0,18.103448275862068,158.36206896551724,16050.0,21600.0,83.0,216.0,14.0,6.481481481481481,74.30555555555556,
6,Precision,gbc,3.0,3100.0,26360.0,16200.0,104.0,162.0,35.0,21.604938271604937,162.71604938271605,6860.0,12300.0,83.0,123.0,7.0,5.691056910569105,55.77235772357724,
7,Precision,rf,3.0,3100.0,15070.0,7800.0,104.0,78.0,20.0,25.64102564102564,193.2051282051282,5010.0,5900.0,83.0,59.0,5.0,8.47457627118644,84.91525423728814,
