racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
2014,2,1,73,0.236,0.17
2538,2,1,71,0.234,0.18
2787,2,1,65,0.338,0.16
2841,2,1,64,0.214,0.19
2844,2,1,63,0.264,0.18
2876,4,1,63,0.525,0.14
2878,2,1,62,0.271,0.18
2903,2,1,61,0.259,0.16
2912,2,1,65,0.242,0.19
2930,2,1,64,0.169,0.21
2935,2,1,62,0.109,0.16
2958,2,1,63,0.117,0.20
2983,2,0,61,0.119,0.18
3006,2,1,63,0.179,0.20
3020,2,1,60,0.196,0.22
3022,4,1,60,0.389,0.16
3024,4,1,59,0.575,0.15
3025,2,1,58,0.266,0.18
3036,2,1,62,0.213,0.17
3044,2,1,60,0.202,0.19
3051,1,1,58,0.000,0.00
3052,2,1,58,0.112,0.19
3054,3,1,57,0.409,0.17
3058,2,1,63,0.103,0.19
3064,3,1,61,0.389,0.15
3065,2,1,61,0.181,0.19
3066,2,1,60,0.126,0.19
3070,3,1,59,0.459,0.15
3072,2,1,59,0.260,0.17
3075,2,1,58,0.300,0.15
3079,2,1,57,0.295,0.21
3081,3,1,57,0.337,0.16
3105,2,1,57,0.263,0.18
3107,3,1,57,0.339,0.17
3108,2,1,57,0.119,0.18
3122,2,1,59,0.220,0.16
3123,2,1,58,0.203,0.18
3141,2,1,59,0.284,0.17
3142,1,0,58,0.151,0.21
3151,2,1,56,0.127,0.19
3153,2,1,56,0.196,0.20
3156,3,1,56,0.429,0.14
3158,4,1,55,0.455,0.14
3159,4,1,55,0.570,0.14
3161,2,1,60,0.303,0.19
3164,2,1,59,0.135,0.20
3170,1,1,57,0.190,0.21
3175,2,0,57,0.200,0.18
3176,2,1,56,0.176,0.21
3177,2,0,56,0.172,0.20
3182,2,0,55,0.145,0.19
3186,2,1,60,0.230,0.20
3187,2,1,59,0.244,0.19
3188,1,0,59,0.485,0.17
3200,4,1,55,0.443,0.15
3202,2,1,55,0.268,0.19
3207,1,0,55,0.096,0.21
3211,2,1,58,0.219,0.17
