racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3325,2,1,48,0.222,0.20
3326,4,1,48,0.485,0.17
3327,4,1,48,0.383,0.16
3328,2,0,48,0.129,0.19
3329,4,1,48,0.494,0.14
3331,3,1,47,0.436,0.17
3333,4,1,47,0.493,0.16
3334,3,0,47,0.386,0.19
3335,2,1,46,0.159,0.20
3336,2,1,51,0.311,0.18
3338,3,1,50,0.344,0.17
3339,2,1,50,0.258,0.17
3340,2,1,50,0.211,0.22
3342,2,1,50,0.159,0.19
3343,3,1,50,0.384,0.18
3344,2,1,49,0.196,0.17
3346,3,1,49,0.363,0.16
3347,4,1,48,0.442,0.20
3349,4,1,47,0.496,0.15
3350,2,1,47,0.293,0.17
3352,2,1,47,0.261,0.14
3353,3,1,47,0.430,0.17
3355,2,0,47,0.171,0.26
3357,3,0,47,0.344,0.21
3358,2,1,46,0.222,0.23
3360,3,1,46,0.439,0.20
3361,2,1,46,0.271,0.17
3362,3,1,46,0.463,0.18
3363,1,1,51,0.224,0.18
3365,2,1,50,0.200,0.18
3370,2,1,49,0.156,0.17
3372,2,1,49,0.241,0.18
3373,2,1,48,0.222,0.19
3374,2,1,48,0.142,0.19
3376,2,1,48,0.125,0.24
3377,2,1,48,0.280,0.21
3378,2,1,47,0.144,0.24
3379,4,1,47,0.466,0.17
3381,3,1,47,0.425,0.15
3382,3,1,47,0.394,0.17
3385,3,1,46,0.403,0.18
3388,4,1,46,0.587,0.15
3391,3,1,50,0.453,0.16
3392,2,1,50,0.218,0.23
3393,2,1,50,0.174,0.20
3396,1,1,49,0.187,0.20
3397,2,1,49,0.142,0.20
3398,2,1,48,0.218,0.20
3400,2,1,48,0.320,0.18
3401,3,1,48,0.363,0.17
3404,2,1,48,0.121,0.18
3406,4,1,47,0.459,0.17
3407,2,1,47,0.205,0.20
3408,2,1,46,0.136,0.20
3409,2,1,46,0.255,0.18
3411,2,1,46,0.278,0.17
3412,4,1,46,0.510,0.17
3414,4,1,46,0.487,0.16
3415,4,1,46,0.596,0.14
3417,2,1,46,0.185,0.15
3419,2,1,46,0.285,0.21
3422,4,1,44,0.395,0.16
3424,2,1,49,0.187,0.17
3425,2,1,49,0.135,0.21
3426,1,1,49,0.102,0.21
3427,4,1,48,0.504,0.18
3430,2,1,47,0.296,0.16
3432,3,1,47,0.381,0.14
3433,2,1,47,0.127,0.22
3434,2,1,46,0.344,0.17
3435,4,0,46,0.597,0.15
3436,4,1,46,0.424,0.13
3439,4,1,46,0.481,0.15
3440,1,1,46,0.666,0.16
3441,3,1,46,0.428,0.18
3442,3,1,46,0.443,0.17
3443,3,1,46,0.421,0.21
3444,2,1,46,0.215,0.16
3445,4,1,46,0.464,0.18
3446,2,0,46,0.181,0.21
3448,2,1,45,0.333,0.16
3452,3,1,45,0.432,0.15
3454,3,1,44,0.407,0.17
3455,2,1,44,0.341,0.20
3456,2,1,44,0.132,0.20
3458,2,1,49,0.276,0.17
3459,2,1,48,0.197,0.17
3460,2,1,48,0.194,0.17
3461,2,1,48,0.250,0.17
3462,4,1,48,0.492,0.17
3463,3,1,48,0.425,0.19
3465,2,1,48,0.170,0.23
3466,1,1,47,0.108,0.20
3467,2,1,47,0.306,0.19
3469,2,0,46,0.155,0.22
3470,3,0,46,0.404,0.18
3471,2,1,45,0.229,0.20
3472,2,1,45,0.131,0.21
3473,4,1,45,0.466,0.16
3474,3,0,45,0.360,0.18
3475,4,1,45,0.459,0.16
3476,2,1,45,0.103,0.25
3477,2,1,45,0.259,0.18
3478,2,1,45,0.279,0.18
3480,2,1,45,0.116,0.18
3482,3,1,44,0.336,0.17
3483,2,0,44,0.151,0.25
3484,4,1,44,0.534,0.17
3485,3,1,44,0.375,0.19
3486,2,0,49,0.315,0.22
3488,3,1,48,0.423,0.15
3489,4,1,48,0.561,0.16
3491,2,1,48,0.152,0.21
3492,2,1,48,0.169,0.21
3493,2,1,47,0.323,0.20
3494,1,1,47,0.081,0.21
3496,2,1,47,0.285,0.17
3497,4,1,47,0.476,0.18
3498,2,1,47,0.288,0.16
3499,4,1,47,0.452,0.15
3501,4,1,46,0.474,0.15
3502,4,1,46,0.493,0.18
3503,2,1,46,0.151,0.16
3505,4,1,44,0.510,0.15
3506,2,1,44,0.204,0.23
3507,2,1,44,0.240,0.17
3508,2,1,44,0.257,0.19
3509,2,0,44,0.250,0.17
3514,3,1,48,0.500,0.16
3516,3,1,48,0.369,0.17
3517,4,1,48,0.663,0.15
3518,3,0,47,0.361,0.18
3519,3,1,47,0.320,0.18
3521,2,1,47,0.134,0.18
3522,3,1,47,0.418,0.17
3523,2,1,47,0.303,0.18
3527,3,1,44,0.411,0.18
3528,2,0,44,0.148,0.19
3529,4,1,44,0.528,0.16
3532,3,1,44,0.489,0.17
3533,3,1,43,0.420,0.16
3534,3,1,43,0.428,0.15
3535,2,1,43,0.281,0.19
3536,2,1,49,0.277,0.16
3537,2,1,47,0.266,0.18
3538,3,1,47,0.410,0.19
3539,2,1,47,0.298,0.20
3540,2,1,47,0.137,0.21
3541,4,1,47,0.531,0.14
3542,2,1,47,0.233,0.18
3543,3,1,47,0.387,0.15
3544,2,1,47,0.330,0.19
3545,2,1,46,0.154,0.27
3546,3,1,46,0.351,0.16
3548,4,1,45,0.477,0.13
3549,2,1,44,0.129,0.24
3550,3,1,44,0.490,0.17
3551,2,0,44,0.212,0.18
3553,2,1,43,0.267,0.18
3554,4,1,43,0.543,0.17
3555,4,1,43,0.520,0.16
3556,4,1,43,0.700,0.13
3557,4,1,42,0.633,0.13
3558,4,1,42,0.485,0.13
3559,3,1,47,0.340,0.17
3560,2,1,47,0.207,0.20
3561,2,1,47,0.230,0.21
3562,4,1,46,0.552,0.18
3563,4,1,46,0.475,0.17
3564,2,1,45,0.294,0.15
3565,2,1,45,0.168,0.19
3566,3,1,45,0.410,0.18
3567,2,1,45,0.185,0.19
3568,4,1,44,0.472,0.17
3569,2,1,44,0.194,0.18
3571,2,1,44,0.175,0.19
3572,4,1,44,0.478,0.20
3573,4,1,43,0.575,0.17
3574,4,1,43,0.562,0.16
3575,2,1,43,0.216,0.17
