,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
166,3296,2,1,48,0.140,0.21
167,3297,4,1,48,0.468,0.18
168,3298,2,0,48,0.198,0.19
169,3299,2,0,48,0.183,0.22
170,3300,4,1,48,0.582,0.14
171,3302,4,0,48,0.520,0.18
172,3303,3,1,48,0.313,0.18
173,3304,3,1,48,0.386,0.16
174,3305,3,1,48,0.398,0.18
175,3306,2,1,47,0.186,0.18
176,3307,1,1,47,0.000,0.00
177,3309,2,1,52,0.202,0.20
178,3310,2,1,51,0.122,0.20
179,3312,4,1,50,0.484,0.18
180,3313,2,1,50,0.320,0.17
181,3315,2,1,50,0.118,0.28
182,3317,2,0,49,0.233,0.19
183,3319,3,1,48,0.353,0.17
184,3324,1,0,48,0.083,0.21
185,3325,2,1,48,0.222,0.20
186,3326,4,1,48,0.485,0.17
187,3327,4,1,48,0.383,0.16
188,3328,2,0,48,0.129,0.19
189,3329,4,1,48,0.494,0.14
190,3331,3,1,47,0.436,0.17
191,3333,4,1,47,0.493,0.16
192,3334,3,0,47,0.386,0.19
193,3335,2,1,46,0.159,0.20
194,3336,2,1,51,0.311,0.18
195,3338,3,1,50,0.344,0.17
196,3339,2,1,50,0.258,0.17
197,3340,2,1,50,0.211,0.22
198,3342,2,1,50,0.159,0.19
199,3343,3,1,50,0.384,0.18
200,3344,2,1,49,0.196,0.17
201,3346,3,1,49,0.363,0.16
202,3347,4,1,48,0.442,0.20
203,3349,4,1,47,0.496,0.15
204,3350,2,1,47,0.293,0.17
205,3352,2,1,47,0.261,0.14
206,3353,3,1,47,0.430,0.17
207,3355,2,0,47,0.171,0.26
208,3357,3,0,47,0.344,0.21
209,3358,2,1,46,0.222,0.23
210,3360,3,1,46,0.439,0.20
211,3361,2,1,46,0.271,0.17
212,3362,3,1,46,0.463,0.18
213,3363,1,1,51,0.224,0.18
214,3365,2,1,50,0.200,0.18
215,3370,2,1,49,0.156,0.17
216,3372,2,1,49,0.241,0.18
217,3373,2,1,48,0.222,0.19
218,3374,2,1,48,0.142,0.19
219,3376,2,1,48,0.125,0.24
220,3377,2,1,48,0.280,0.21
221,3378,2,1,47,0.144,0.24
222,3379,4,1,47,0.466,0.17
223,3381,3,1,47,0.425,0.15
224,3382,3,1,47,0.394,0.17
225,3385,3,1,46,0.403,0.18
226,3388,4,1,46,0.587,0.15
227,3391,3,1,50,0.453,0.16
228,3392,2,1,50,0.218,0.23
229,3393,2,1,50,0.174,0.20
230,3396,1,1,49,0.187,0.20
231,3397,2,1,49,0.142,0.20
232,3398,2,1,48,0.218,0.20
233,3400,2,1,48,0.320,0.18
234,3401,3,1,48,0.363,0.17
235,3404,2,1,48,0.121,0.18
236,3406,4,1,47,0.459,0.17
237,3407,2,1,47,0.205,0.20
238,3408,2,1,46,0.136,0.20
239,3409,2,1,46,0.255,0.18
240,3411,2,1,46,0.278,0.17
241,3412,4,1,46,0.510,0.17
242,3414,4,1,46,0.487,0.16
243,3415,4,1,46,0.596,0.14
244,3417,2,1,46,0.185,0.15
245,3419,2,1,46,0.285,0.21
246,3422,4,1,44,0.395,0.16
247,3424,2,1,49,0.187,0.17
248,3425,2,1,49,0.135,0.21
249,3426,1,1,49,0.102,0.21
250,3427,4,1,48,0.504,0.18
251,3430,2,1,47,0.296,0.16
252,3432,3,1,47,0.381,0.14
253,3433,2,1,47,0.127,0.22
254,3434,2,1,46,0.344,0.17
255,3435,4,0,46,0.597,0.15
256,3436,4,1,46,0.424,0.13
257,3439,4,1,46,0.481,0.15
258,3440,1,1,46,0.666,0.16
259,3441,3,1,46,0.428,0.18
260,3442,3,1,46,0.443,0.17
261,3443,3,1,46,0.421,0.21
262,3444,2,1,46,0.215,0.16
263,3445,4,1,46,0.464,0.18
264,3446,2,0,46,0.181,0.21
265,3448,2,1,45,0.333,0.16
266,3452,3,1,45,0.432,0.15
267,3454,3,1,44,0.407,0.17
268,3455,2,1,44,0.341,0.20
269,3456,2,1,44,0.132,0.20
270,3458,2,1,49,0.276,0.17
271,3459,2,1,48,0.197,0.17
272,3460,2,1,48,0.194,0.17
273,3461,2,1,48,0.250,0.17
274,3462,4,1,48,0.492,0.17
275,3463,3,1,48,0.425,0.19
276,3465,2,1,48,0.170,0.23
277,3466,1,1,47,0.108,0.20
278,3467,2,1,47,0.306,0.19
279,3469,2,0,46,0.155,0.22
280,3470,3,0,46,0.404,0.18
281,3471,2,1,45,0.229,0.20
282,3472,2,1,45,0.131,0.21
283,3473,4,1,45,0.466,0.16
284,3474,3,0,45,0.360,0.18
285,3475,4,1,45,0.459,0.16
286,3476,2,1,45,0.103,0.25
287,3477,2,1,45,0.259,0.18
288,3478,2,1,45,0.279,0.18
289,3480,2,1,45,0.116,0.18
290,3482,3,1,44,0.336,0.17
291,3483,2,0,44,0.151,0.25
292,3484,4,1,44,0.534,0.17
293,3485,3,1,44,0.375,0.19
294,3486,2,0,49,0.315,0.22
295,3488,3,1,48,0.423,0.15
296,3489,4,1,48,0.561,0.16
297,3491,2,1,48,0.152,0.21
298,3492,2,1,48,0.169,0.21
299,3493,2,1,47,0.323,0.20
300,3494,1,1,47,0.081,0.21
301,3496,2,1,47,0.285,0.17
302,3497,4,1,47,0.476,0.18
303,3498,2,1,47,0.288,0.16
304,3499,4,1,47,0.452,0.15
305,3501,4,1,46,0.474,0.15
306,3502,4,1,46,0.493,0.18
307,3503,2,1,46,0.151,0.16
308,3505,4,1,44,0.510,0.15
309,3506,2,1,44,0.204,0.23
310,3507,2,1,44,0.240,0.17
311,3508,2,1,44,0.257,0.19
312,3509,2,0,44,0.250,0.17
313,3514,3,1,48,0.500,0.16
314,3516,3,1,48,0.369,0.17
315,3517,4,1,48,0.663,0.15
316,3518,3,0,47,0.361,0.18
317,3519,3,1,47,0.320,0.18
318,3521,2,1,47,0.134,0.18
319,3522,3,1,47,0.418,0.17
320,3523,2,1,47,0.303,0.18
321,3527,3,1,44,0.411,0.18
322,3528,2,0,44,0.148,0.19
323,3529,4,1,44,0.528,0.16
324,3532,3,1,44,0.489,0.17
325,3533,3,1,43,0.420,0.16
326,3534,3,1,43,0.428,0.15
327,3535,2,1,43,0.281,0.19
328,3536,2,1,49,0.277,0.16
329,3537,2,1,47,0.266,0.18
330,3538,3,1,47,0.410,0.19
331,3539,2,1,47,0.298,0.20
332,3540,2,1,47,0.137,0.21
333,3541,4,1,47,0.531,0.14
334,3542,2,1,47,0.233,0.18
335,3543,3,1,47,0.387,0.15
336,3544,2,1,47,0.330,0.19
337,3545,2,1,46,0.154,0.27
338,3546,3,1,46,0.351,0.16
339,3548,4,1,45,0.477,0.13
340,3549,2,1,44,0.129,0.24
341,3550,3,1,44,0.490,0.17
342,3551,2,0,44,0.212,0.18
343,3553,2,1,43,0.267,0.18
344,3554,4,1,43,0.543,0.17
345,3555,4,1,43,0.520,0.16
346,3556,4,1,43,0.700,0.13
347,3557,4,1,42,0.633,0.13
348,3558,4,1,42,0.485,0.13
349,3559,3,1,47,0.340,0.17
350,3560,2,1,47,0.207,0.20
351,3561,2,1,47,0.230,0.21
352,3562,4,1,46,0.552,0.18
353,3563,4,1,46,0.475,0.17
354,3564,2,1,45,0.294,0.15
355,3565,2,1,45,0.168,0.19
356,3566,3,1,45,0.410,0.18
357,3567,2,1,45,0.185,0.19
358,3568,4,1,44,0.472,0.17
