,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
0,1.0,5.0,206.0,0.85,43850.0,38000.0,360.0,380.0,115.39473684210526,17.105263157894736,65.0,,,,52.0
7,4.0,8.0,170.0,0.85,60790.0,45800.0,104.0,458.0,132.7292576419214,6.986899563318777,32.0,1.3316394442741608,1.01374393741781,2.345383381691971,34.0
43,5.0,5.0,124.0,0.92,73090.0,54500.0,269.0,545.0,134.11009174311928,13.394495412844035,73.0,0.9575593325720199,2.1281115762379597,3.0856709088099796,11.0
58,6.0,5.0,220.0,0.85,36820.0,28900.0,221.0,289.0,127.40484429065744,12.802768166089963,37.0,-0.5773502691896258,0.9955988280551622,0.41824855886553636,59.0
64,9.0,8.0,162.0,0.92,53490.0,44700.0,165.0,447.0,119.66442953020132,10.06711409395973,45.0,1.4035131799278397,1.083596015620208,2.4871091955480478,30.0
70,13.0,5.0,118.0,0.92,115560.0,74300.0,111.0,743.0,155.53162853297442,5.248990578734858,39.0,2.1116383197514255,1.6161699920711452,3.727808311822571,8.0
81,18.0,8.0,262.0,0.85,34960.0,14200.0,60.0,142.0,246.19718309859152,6.338028169014084,9.0,-0.5883484054145521,2.155226531136624,1.5668781257220719,80.0
