,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
6255,13.0,5.0,240.0,0.85,44350.0,37700.0,111.0,377.0,117.6392572944297,5.570291777188329,21.0,69.0
6258,13.0,5.0,242.0,0.85,48400.0,38900.0,111.0,389.0,124.4215938303342,5.141388174807198,20.0,70.0
6181,13.0,5.0,190.0,0.9,49690.0,41200.0,111.0,412.0,120.60679611650484,5.097087378640777,21.0,44.0
6184,13.0,5.0,192.0,0.9,53280.0,38100.0,111.0,381.0,139.84251968503938,5.2493438320209975,20.0,45.0
6071,13.0,5.0,116.0,0.92,104580.0,69300.0,111.0,693.0,150.9090909090909,5.05050505050505,35.0,7.0
6074,13.0,5.0,118.0,0.92,115560.0,74300.0,111.0,743.0,155.53162853297442,5.248990578734858,39.0,8.0
6179,13.0,5.0,188.0,0.92,54160.0,40800.0,111.0,408.0,132.7450980392157,5.392156862745098,22.0,43.0
6182,13.0,5.0,190.0,0.92,44310.0,37800.0,111.0,378.0,117.22222222222224,5.026455026455026,19.0,44.0
6185,13.0,5.0,192.0,0.92,47010.0,33000.0,111.0,330.0,142.45454545454547,5.454545454545454,18.0,45.0
8808,18.0,5.0,262.0,0.85,25110.0,16100.0,60.0,161.0,155.96273291925468,5.590062111801243,9.0,80.0
8811,18.0,5.0,264.0,0.85,37210.0,22100.0,60.0,221.0,168.3710407239819,6.334841628959276,14.0,81.0
8791,18.0,5.0,250.0,0.9,22900.0,11300.0,60.0,113.0,202.65486725663715,7.964601769911504,9.0,74.0
8794,18.0,5.0,252.0,0.9,27150.0,15100.0,60.0,151.0,179.80132450331126,5.960264900662252,9.0,75.0
9036,18.0,8.0,246.0,0.85,29650.0,17400.0,60.0,174.0,170.4022988505747,6.896551724137931,12.0,72.0
9039,18.0,8.0,248.0,0.85,23090.0,18500.0,60.0,185.0,124.8108108108108,5.405405405405405,10.0,73.0
9042,18.0,8.0,250.0,0.85,30730.0,17200.0,60.0,172.0,178.6627906976744,5.232558139534884,9.0,74.0
9060,18.0,8.0,262.0,0.85,34960.0,14200.0,60.0,142.0,246.19718309859152,6.338028169014084,9.0,80.0
9063,18.0,8.0,264.0,0.85,24880.0,17900.0,60.0,179.0,138.99441340782124,5.027932960893855,9.0,81.0
