,place_name,date,num_race,racer_1_id,racer_2_id,racer_3_id,racer_4_id,racer_5_id,racer_6_id,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,bet_3,bet_4,bet_5,bet_7,bet_13,bet_14,buy_flag_3,buy_flag_4,buy_flag_5,buy_flag_7,buy_flag_13,buy_flag_14,total_use,result_coms,return_money,get,use,hit_flag
0,asiya,20220101,1,3783,4632,5022,4866,5198,3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1170,0.0,0.0,0
1,asiya,20220101,2,4802,4395,3851,4256,3564,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,440,0.0,0.0,0
2,asiya,20220101,3,3853,3604,4148,5008,4588,4506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,900,0.0,0.0,0
3,asiya,20220101,4,4296,4932,3627,4193,4958,5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,560,0.0,0.0,0
4,asiya,20220101,5,4551,4866,4189,4545,5131,5193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,570,0.0,0.0,0
5,asiya,20220101,6,4555,3473,4607,5029,3851,2903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,1050,0.0,0.0,0
6,asiya,20220101,7,3188,5117,3604,5144,5200,5198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,320,0.0,0.0,0
7,asiya,20220101,8,4640,3564,4506,4296,4632,4684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,580,0.0,0.0,0
8,asiya,20220101,9,4607,4189,4802,4958,5008,5022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1570,0.0,0.0,0
9,asiya,20220101,10,4614,3783,4555,3853,3627,5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,440,0.0,0.0,0
10,asiya,20220101,11,4588,4256,3734,4551,3188,4193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,4800,0.0,0.0,0
11,asiya,20220101,12,4148,5029,4545,4640,4932,4395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,1920,0.0,0.0,0
12,asiya,20220102,1,4256,5008,3188,4866,5200,4607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1310,0.0,0.0,0
13,asiya,20220102,2,4684,5102,3564,3783,3604,5131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,620,0.0,0.0,0
14,asiya,20220102,3,4193,4506,4296,2903,4551,5193,0.0,0.0,0.11597155490901168,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200,41,1260,0.0,1200.0,0
15,asiya,20220102,4,3473,3734,4588,4802,5144,4632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,920,0.0,0.0,0
16,asiya,20220102,5,4189,3825,4148,4614,5227,5198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,350,0.0,0.0,0
17,asiya,20220102,6,5022,4932,5131,5117,4555,4640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1330,0.0,0.0,0
18,asiya,20220102,7,4958,3627,4395,5102,5193,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,190,0.0,0.0,0
19,asiya,20220102,8,4545,2903,5008,5029,3734,5144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,750,0.0,0.0,0
20,asiya,20220102,9,4866,3853,3851,4506,5198,5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,1490,0.0,0.0,0
21,asiya,20220102,10,4148,3473,4555,4193,4932,4802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,6810,0.0,0.0,0
