,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
0,1.0,5.0,91.0,0.5,50180.0,50100.0,69.0,501.0,100.15968063872256,24.219216403078214,38.0,7.584830339321358,0.302709598564932,3.0,584.0,26680.0,29300.0,35.0,293.0,91.0580204778157,43.21128483077584,31.0,10.580204778156997,1.0426793390115678,1.0,33.736263736263595,0.08777425285117993,0.2616634516657039,-0.023632322405429586,0.26166345166570315,0.3434529674563134,-0.15927314356278677,-0.02917013952254417,0.20789151603163986,0.17653564270462893,0.014313680874425532,-0.06616573219902479,1.0750536255598093
1,2.0,5.0,90.0,0.5,49050.0,49000.0,61.0,490.0,100.10204081632652,67.1995335069071,31.0,6.326530612244897,0.635608632750916,2.0,313.5111111111112,33260.0,28900.0,31.0,289.0,115.08650519031144,47.02003181730813,30.0,10.38062283737024,0.5993255389511686,1.0,162.31481481481478,0.13729705324244543,0.4293966473003999,-0.03625171026807738,0.4293966473003987,0.22592316434872872,-0.08038606074420944,-0.04856139700909429,0.2159846873177065,0.024220241167542095,-0.01759664624623769,-0.07635245300125476,1.2030701734083475
2,3.0,5.0,81.0,0.5,86000.0,55500.0,45.0,555.0,154.95495495495496,106.62231103205558,26.0,4.684684684684685,0.2349262128000954,3.0,337.804761904762,15000.0,29600.0,14.0,296.0,50.67567567567568,49.04593887403165,6.0,2.027027027027027,0.6756756756756757,0.0,-14.166666666666742,0.09920318111481534,0.4706601136197189,0.0,0.4706601136197176,0.5523086627153831,-0.273312159771995,-0.037853852846783206,0.6518364335177494,0.3750807837689091,0.0,0.014160894014742395,2.3227441697522577
3,5.0,7.0,131.0,0.58,18660.0,18400.0,49.0,184.0,101.41304347826087,115.99965709388518,11.0,5.978260869565218,1.0454013076995297,2.0,-169.5999999999999,12470.0,13000.0,33.0,130.0,95.92307692307692,61.90226215233766,6.0,4.615384615384616,0.7692307692307693,1.0,-74.44444444444434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.0,5.0,124.0,0.58,11620.0,11200.0,43.0,112.0,103.75,44.01911464014403,10.0,8.928571428571429,1.093522206599633,3.0,18.5,12880.0,8300.0,41.0,83.0,155.18072289156626,91.60490933704487,14.0,16.867469879518072,1.3912054679268084,2.0,262.7777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.0,5.0,85.0,0.5,43160.0,42700.0,35.0,427.0,101.07728337236534,67.81499676148059,19.0,4.449648711943794,0.1959391162843269,2.0,954.7666666666668,17090.0,27700.0,30.0,277.0,61.69675090252708,29.35368315159409,13.0,4.693140794223827,1.1604874561965048,0.0,418.33333333333337,0.1845187893100271,0.6006872327329018,-0.06503784269532853,0.6006872327329001,0.26722705558641946,-0.058067133692938,-0.03375568955175699,0.3606063536725121,0.5545847730321356,-0.0023040588957614306,-0.1616513241332685,2.247495388097843
6,8.0,7.0,96.0,0.54,29480.0,27500.0,29.0,275.0,107.2,75.01245686112384,11.0,4.0,0.5975155172783632,3.0,88.66666666666697,7520.0,18000.0,11.0,180.0,41.77777777777778,35.34512065728777,3.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9.0,5.0,86.0,0.54,42540.0,41800.0,40.0,418.0,101.77033492822969,58.26184289992885,20.0,4.784688995215311,0.3782628780105717,3.0,792.1333333333332,29230.0,26200.0,28.0,262.0,111.5648854961832,64.9910890955555,13.0,4.961832061068702,0.7945290074298217,2.0,634.7777777777776,0.2623944987486052,0.7269706500701306,-0.023859094231018715,0.726970650070129,0.05293142587252368,-0.08042481212950003,-0.06885476873046079,-0.02082891038607313,0.26707855477888176,0.03565393549050824,-0.2872684029367076,1.5907637266170183
8,13.0,7.0,87.0,0.5,72840.0,48900.0,37.0,489.0,148.95705521472394,109.52432506796204,20.0,4.08997955010225,0.2504590739042104,3.0,201.5999999999999,24730.0,24400.0,9.0,244.0,101.35245901639344,61.568357052256566,5.0,2.0491803278688523,0.2366189627826335,1.0,0.0,0.10287581740894752,0.31906254570098846,0.04259430906233671,0.31906254570098735,-0.00326727903526347,-0.1022276152118238,-0.0281227266339376,0.2628800110402698,0.3909565657983225,-0.00710243395560308,0.010133452645579213,1.3068451925208036
9,14.0,5.0,102.0,0.54,44470.0,24900.0,24.0,249.0,178.59437751004018,129.0754207865518,10.0,4.016064257028113,0.4918654101974252,4.0,-69.0,17950.0,13800.0,18.0,138.0,130.07246376811594,15.484146566173356,11.0,7.971014492753622,1.106902341776773,3.0,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
