,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,1770.0,7,3932,2.0,53.0,4670,44.0,37.0,4065,48.0,30.0,4893,32.0,27.0,4984,7.0,56.0,4993,24.0,46.0,2
,1470.0,8,4447,3.0,69.0,4938,50.0,14.0,3900,14.0,57.0,4714,61.0,65.0,3943,31.0,23.0,4373,51.0,44.0,41
,4170.0,9,3474,38.0,47.0,4183,35.0,42.0,4901,18.0,35.0,4304,27.0,64.0,3188,42.0,52.0,4806,21.0,54.0,15
,680.0,11,4117,39.0,21.0,3357,8.0,70.0,4447,3.0,69.0,3580,25.0,17.0,4670,44.0,37.0,3302,17.0,15.0,6
,12790.0,12,4885,34.0,74.0,4373,51.0,44.0,3474,38.0,47.0,3845,43.0,67.0,4501,19.0,72.0,4893,32.0,27.0,71
,450.0,1,3845,43.0,67.0,3932,2.0,53.0,3943,31.0,23.0,4806,21.0,54.0,3357,8.0,70.0,4993,24.0,46.0,3
,16220.0,2,4447,3.0,69.0,3604,49.0,11.0,4670,44.0,37.0,4050,13.0,68.0,4947,65.0,41.0,5057,1.0,20.0,41
,8010.0,3,3674,33.0,51.0,3474,38.0,47.0,4117,39.0,21.0,4938,50.0,14.0,3334,55.0,60.0,4744,20.0,58.0,8
,1820.0,5,4501,19.0,72.0,3188,42.0,52.0,3177,6.0,71.0,4893,32.0,27.0,3932,2.0,53.0,4714,61.0,65.0,4
,1000.0,6,4929,59.0,34.0,3302,17.0,15.0,4694,30.0,29.0,3801,45.0,39.0,4993,24.0,46.0,4670,44.0,37.0,32
,1990.0,7,4938,50.0,14.0,4901,18.0,35.0,3142,54.0,25.0,4347,56.0,38.0,3943,31.0,23.0,4947,65.0,41.0,10
,5870.0,8,3900,14.0,57.0,4744,20.0,58.0,3357,8.0,70.0,4961,12.0,75.0,3604,49.0,11.0,4990,16.0,43.0,12
,1520.0,9,4065,48.0,30.0,4893,32.0,27.0,4373,51.0,44.0,4924,4.0,24.0,4929,59.0,34.0,4304,27.0,64.0,9
,700.0,10,3188,42.0,52.0,3845,43.0,67.0,3580,25.0,17.0,3474,38.0,47.0,4901,18.0,35.0,4694,30.0,29.0,3
,1770.0,1,3801,45.0,39.0,4929,59.0,34.0,4714,61.0,65.0,4744,20.0,58.0,4924,4.0,24.0,4938,50.0,14.0,10
,4440.0,2,3900,14.0,57.0,4419,63.0,50.0,4893,32.0,27.0,4373,51.0,44.0,4947,65.0,41.0,4993,24.0,46.0,13
,2320.0,3,3302,17.0,15.0,3357,8.0,70.0,4183,35.0,19.0,3177,6.0,71.0,4304,27.0,64.0,4806,21.0,54.0,41
,980.0,4,3674,33.0,51.0,3142,54.0,25.0,4670,44.0,37.0,4901,18.0,35.0,5057,1.0,20.0,4961,12.0,26.0,12
,1200.0,5,4924,4.0,24.0,4885,34.0,74.0,3604,49.0,11.0,4065,48.0,30.0,4714,61.0,65.0,4990,16.0,43.0,1
,22790.0,6,4694,30.0,29.0,3474,38.0,47.0,4501,19.0,18.0,3932,2.0,53.0,4893,32.0,27.0,4947,65.0,41.0,31
,2590.0,7,3580,25.0,17.0,4806,21.0,54.0,4744,20.0,58.0,3943,31.0,23.0,4419,63.0,50.0,4929,59.0,34.0,9
,1100.0,8,3334,55.0,60.0,3177,6.0,71.0,4993,24.0,46.0,4938,50.0,14.0,4373,51.0,44.0,3357,8.0,70.0,11
,1940.0,9,3604,49.0,11.0,4183,35.0,19.0,4990,16.0,43.0,4304,27.0,64.0,3142,54.0,25.0,5057,1.0,33.0,21
,52310.0,10,4901,18.0,35.0,3801,45.0,39.0,3674,33.0,51.0,4694,30.0,29.0,3302,17.0,15.0,4065,48.0,30.0,59
,3730.0,11,4885,34.0,74.0,3580,25.0,17.0,3474,38.0,47.0,3900,14.0,57.0,4670,44.0,37.0,3334,55.0,60.0,4
,8020.0,12,3188,42.0,52.0,4050,13.0,68.0,4347,56.0,38.0,4117,39.0,21.0,3845,43.0,67.0,4447,3.0,69.0,29
,10080.0,1,4397,30.0,41.0,4491,12.0,66.0,4035,56.0,38.0,4037,31.0,39.0,4518,4.0,40.0,4395,39.0,74.0,82
,1110.0,2,4155,38.0,57.0,3906,17.0,35.0,3340,33.0,70.0,4256,19.0,16.0,3710,43.0,24.0,5058,50.0,30.0,10
,1200.0,3,3990,29.0,52.0,4368,34.0,14.0,4134,1.0,64.0,2844,40.0,61.0,4159,3.0,53.0,4648,2.0,27.0,14
,870.0,4,4276,20.0,23.0,4034,27.0,46.0,4410,22.0,21.0,4116,58.0,54.0,4112,57.0,37.0,5059,45.0,28.0,5
,680.0,5,4150,55.0,65.0,3777,59.0,47.0,4521,6.0,50.0,4861,35.0,63.0,3731,14.0,60.0,4383,54.0,11.0,1
,990.0,6,4375,49.0,34.0,4427,48.0,25.0,3406,26.0,71.0,3710,43.0,24.0,3838,51.0,44.0,4046,8.0,29.0,3
,1540.0,7,3752,18.0,67.0,3340,33.0,70.0,4612,7.0,51.0,4648,2.0,27.0,3692,44.0,45.0,4491,12.0,66.0,5
,1720.0,9,4518,4.0,40.0,4159,3.0,53.0,4375,49.0,34.0,4150,55.0,65.0,4034,27.0,46.0,3455,23.0,15.0,5
,1680.0,10,3548,13.0,58.0,3933,53.0,17.0,3906,17.0,35.0,3731,14.0,60.0,3406,26.0,18.0,4368,34.0,14.0,9
,3320.0,11,3777,59.0,47.0,3838,51.0,44.0,4155,38.0,57.0,3752,18.0,67.0,3990,29.0,52.0,4410,22.0,21.0,41
,1150.0,12,4256,19.0,16.0,4134,1.0,64.0,4370,65.0,69.0,4397,30.0,41.0,4276,20.0,23.0,4427,48.0,25.0,10
,1100.0,1,4134,1.0,64.0,4612,7.0,51.0,4046,8.0,29.0,4034,27.0,46.0,3340,33.0,70.0,5058,50.0,30.0,6
,60600.0,2,4410,22.0,21.0,4395,39.0,74.0,4861,35.0,63.0,4370,65.0,69.0,3752,18.0,67.0,3906,17.0,35.0,85
,4060.0,4,4427,48.0,25.0,4112,57.0,37.0,3692,44.0,45.0,3990,29.0,52.0,4491,12.0,66.0,4518,4.0,40.0,18
,35360.0,6,4648,2.0,27.0,4276,20.0,23.0,4526,42.0,68.0,3933,53.0,17.0,4375,49.0,34.0,4612,7.0,51.0,92
,610.0,7,4521,6.0,50.0,4035,56.0,38.0,3710,43.0,24.0,4368,34.0,14.0,4861,35.0,63.0,4034,27.0,46.0,1
,1970.0,8,3731,14.0,60.0,4256,19.0,16.0,4037,31.0,39.0,4491,12.0,66.0,4410,22.0,21.0,3548,13.0,58.0,2
