,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
14,1.0,5.0,148.0,0.92,96270.0,78600.0,335.0,786.0,122.48091603053436,13.358778625954198,105.0,2.358478191113104,0.907918310772511,3.2663965018856147,23.0
29,2.0,8.0,254.0,0.92,50790.0,37900.0,228.0,379.0,134.01055408970976,9.234828496042216,35.0,-1.502123776166989,1.6807333214952744,0.17860954532828544,76.0
35,9.0,8.0,250.0,0.92,49960.0,37000.0,159.0,370.0,135.02702702702703,8.378378378378379,31.0,-0.6246950475544254,1.3427897035048102,0.7180946559503848,74.0
36,13.0,8.0,196.0,0.92,79120.0,61300.0,91.0,613.0,129.07014681892332,5.220228384991843,32.0,,,,47.0
53,21.0,5.0,238.0,0.92,87980.0,49300.0,124.0,493.0,178.45841784989858,6.288032454361055,31.0,-0.2648299238133716,2.9950727147073652,2.7302427908939935,68.0
