,pred_proba,trans_result,pred,money,true_result,hit,gain
14816,0.00019197949,0,0.0,3170.0,1,0.0,0.0
14817,0.08860559,0,0.0,2120.0,42,0.0,0.0
14818,0.005969475,0,0.0,1870.0,1,0.0,0.0
14819,0.00035036594,0,0.0,1290.0,2,0.0,0.0
14820,1.8740796e-07,0,0.0,5300.0,72,0.0,0.0
14821,0.30893087,0,0.0,820.0,3,0.0,0.0
14822,0.007387854,0,0.0,2000.0,34,0.0,0.0
14823,0.83501005,0,0.0,77020.0,58,0.0,0.0
14824,1.2907594e-05,0,0.0,4360.0,14,0.0,0.0
14825,0.0147771165,0,0.0,3410.0,17,0.0,0.0
14826,5.4312568e-05,0,0.0,2440.0,14,0.0,0.0
14827,0.0012887702,0,0.0,4990.0,79,0.0,0.0
14828,0.25984892,0,0.0,1120.0,22,0.0,0.0
14829,0.00050306437,0,0.0,1980.0,6,0.0,0.0
14830,0.27919453,0,0.0,57530.0,94,0.0,0.0
14831,0.00025628388,0,0.0,4470.0,26,0.0,0.0
14832,0.031966228,0,0.0,5610.0,20,0.0,0.0
14833,0.18067785,0,0.0,3830.0,32,0.0,0.0
14834,0.9912698,0,1.0,38820.0,116,0.0,0.0
14835,0.00041856457,0,0.0,1310.0,57,0.0,0.0
14836,0.9998647,0,1.0,5300.0,81,0.0,0.0
14837,0.985683,0,1.0,31560.0,39,0.0,0.0
14838,0.9326297,0,1.0,890.0,10,0.0,0.0
14839,0.30781478,0,0.0,1760.0,10,0.0,0.0
14840,0.9999764,0,1.0,10390.0,88,0.0,0.0
14841,0.013768882,0,0.0,970.0,82,0.0,0.0
14842,0.13514942,0,0.0,45460.0,79,0.0,0.0
14843,0.0017884602,0,0.0,2980.0,7,0.0,0.0
14844,0.25880727,0,0.0,4480.0,4,0.0,0.0
14845,4.6225728e-06,0,0.0,29970.0,118,0.0,0.0
14846,0.082464285,0,0.0,5760.0,53,0.0,0.0
14847,0.0018421166,0,0.0,1200.0,6,0.0,0.0
14848,0.81366515,0,0.0,4280.0,115,0.0,0.0
14849,0.6021776,0,0.0,3540.0,8,0.0,0.0
14850,0.0025685923,0,0.0,4680.0,44,0.0,0.0
14851,2.5888477e-07,0,0.0,2010.0,62,0.0,0.0
14852,5.1844076e-05,0,0.0,10310.0,68,0.0,0.0
14853,0.7357065,0,0.0,11930.0,78,0.0,0.0
14854,0.58211404,0,0.0,7110.0,99,0.0,0.0
14855,0.0039943284,0,0.0,6700.0,24,0.0,0.0
14856,0.119255885,0,0.0,1300.0,14,0.0,0.0
14857,0.18110707,0,0.0,2220.0,84,0.0,0.0
14858,1.7436585e-05,0,0.0,15260.0,30,0.0,0.0
14859,0.6183251,0,0.0,760.0,6,0.0,0.0
14860,0.00045808725,0,0.0,1750.0,7,0.0,0.0
14861,0.03083785,0,0.0,17790.0,43,0.0,0.0
14862,9.0852217e-07,0,0.0,2590.0,69,0.0,0.0
14863,0.024126526,0,0.0,7190.0,33,0.0,0.0
14864,0.0064331484,0,0.0,6050.0,73,0.0,0.0
14865,0.9996445,0,1.0,1250.0,6,0.0,0.0
14866,0.7588752,0,0.0,11040.0,2,0.0,0.0
14867,0.010669706,0,0.0,820.0,2,0.0,0.0
14868,0.027101872,0,0.0,10010.0,14,0.0,0.0
14869,0.9989498,0,1.0,1090.0,1,0.0,0.0
14870,0.0005204054,0,0.0,11610.0,16,0.0,0.0
14871,0.98759884,0,1.0,1430.0,6,0.0,0.0
14872,0.7453566,0,0.0,24950.0,85,0.0,0.0
14873,0.97217,0,1.0,3110.0,22,0.0,0.0
14874,0.00018735565,0,0.0,8440.0,44,0.0,0.0
14875,6.9260524e-05,0,0.0,2710.0,22,0.0,0.0
14876,0.42363745,0,0.0,7780.0,90,0.0,0.0
14877,0.0038701922,0,0.0,2180.0,51,0.0,0.0
14878,0.9995441,0,1.0,2200.0,7,0.0,0.0
14879,0.6391198,0,0.0,1150.0,2,0.0,0.0
