,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
10906,22.0,8.0,148.0,0.9,60920.0,47000.0,113.0,470.0,129.61702127659572,5.957446808510639,28.0,23.0
10912,22.0,8.0,152.0,0.9,57140.0,49100.0,113.0,491.0,116.37474541751529,5.091649694501019,25.0,25.0
10915,22.0,8.0,154.0,0.9,80590.0,51600.0,113.0,516.0,156.18217054263565,5.62015503875969,29.0,26.0
10951,22.0,8.0,178.0,0.9,50200.0,40800.0,113.0,408.0,123.03921568627452,5.637254901960785,23.0,38.0
10954,22.0,8.0,180.0,0.9,52030.0,32600.0,113.0,326.0,159.60122699386503,5.521472392638037,18.0,39.0
10975,22.0,8.0,194.0,0.9,58160.0,35700.0,113.0,357.0,162.91316526610643,5.602240896358544,20.0,46.0
10978,22.0,8.0,196.0,0.9,55560.0,37600.0,113.0,376.0,147.76595744680853,5.319148936170213,20.0,47.0
10981,22.0,8.0,198.0,0.9,41390.0,33000.0,113.0,330.0,125.42424242424242,5.757575757575758,19.0,48.0
10984,22.0,8.0,200.0,0.9,60720.0,31800.0,113.0,318.0,190.9433962264151,6.60377358490566,21.0,49.0
10868,22.0,8.0,122.0,0.92,100930.0,59700.0,113.0,597.0,169.0619765494137,5.527638190954774,33.0,10.0
10871,22.0,8.0,124.0,0.92,83290.0,52600.0,113.0,526.0,158.34600760456274,5.323193916349809,28.0,11.0
10877,22.0,8.0,128.0,0.92,72130.0,50400.0,113.0,504.0,143.11507936507937,5.357142857142857,27.0,13.0
10880,22.0,8.0,130.0,0.92,59370.0,47100.0,113.0,471.0,126.05095541401276,5.095541401273886,24.0,14.0
10898,22.0,8.0,142.0,0.92,75290.0,42900.0,113.0,429.0,175.5011655011655,5.361305361305361,23.0,20.0
10901,22.0,8.0,144.0,0.92,67190.0,46400.0,113.0,464.0,144.8060344827586,6.465517241379311,30.0,21.0
10904,22.0,8.0,146.0,0.92,67370.0,51400.0,113.0,514.0,131.07003891050584,5.642023346303502,29.0,22.0
10907,22.0,8.0,148.0,0.92,57460.0,42500.0,113.0,425.0,135.20000000000002,6.11764705882353,26.0,23.0
10913,22.0,8.0,152.0,0.92,57140.0,42400.0,113.0,424.0,134.76415094339623,5.89622641509434,25.0,25.0
10916,22.0,8.0,154.0,0.92,64610.0,45600.0,113.0,456.0,141.68859649122808,5.921052631578947,27.0,26.0
10949,22.0,8.0,176.0,0.92,53150.0,42500.0,113.0,425.0,125.05882352941175,5.176470588235294,22.0,37.0
10952,22.0,8.0,178.0,0.92,46960.0,35800.0,113.0,358.0,131.1731843575419,5.865921787709497,21.0,38.0
10976,22.0,8.0,194.0,0.92,48980.0,31700.0,113.0,317.0,154.51104100946372,5.678233438485805,18.0,46.0
10979,22.0,8.0,196.0,0.92,55560.0,33000.0,113.0,330.0,168.36363636363637,6.0606060606060606,20.0,47.0
10982,22.0,8.0,198.0,0.92,36390.0,29000.0,113.0,290.0,125.48275862068964,5.862068965517241,17.0,48.0
10985,22.0,8.0,200.0,0.92,53680.0,27000.0,113.0,270.0,198.8148148148148,6.666666666666667,18.0,49.0
11314,23.0,5.0,252.0,0.9,40500.0,23400.0,55.0,234.0,173.0769230769231,5.555555555555555,13.0,75.0
11317,23.0,5.0,254.0,0.9,38750.0,25400.0,55.0,254.0,152.55905511811022,5.118110236220472,13.0,76.0
11315,23.0,5.0,252.0,0.92,36720.0,19700.0,55.0,197.0,186.3959390862944,5.583756345177665,11.0,75.0
11318,23.0,5.0,254.0,0.92,35230.0,22300.0,55.0,223.0,157.98206278026905,5.381165919282512,12.0,76.0
