,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
1,4.0,5.0,208.0,0.9,78160.0,50500.0,98.0,505.0,154.77227722772278,5.544554455445545,28.0,1.165543034828717,1.2137203964600263,2.3792634312887433,53.0
25,5.0,8.0,150.0,0.92,95040.0,67900.0,212.0,679.0,139.9705449189985,10.309278350515465,70.0,1.777378160857376,1.6975762574284412,3.474954418285817,24.0
27,6.0,5.0,190.0,0.9,70280.0,60900.0,204.0,609.0,115.40229885057472,9.0311986863711,55.0,,,,44.0
28,8.0,8.0,250.0,0.92,49680.0,40300.0,93.0,403.0,123.27543424317618,5.459057071960298,22.0,,,,74.0
30,11.0,8.0,172.0,0.92,72660.0,60600.0,101.0,606.0,119.9009900990099,5.445544554455446,33.0,-1.0,1.0000000000000033,3.3306690738754696e-15,35.0
