,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
137,3290.0,4,1,53.0,0.504,0.14
138,3291.0,2,1,52.0,0.126,0.21
139,3293.0,2,1,51.0,0.283,0.20
140,3294.0,3,1,51.0,0.355,0.16
141,3295.0,4,1,50.0,0.425,0.17
142,3296.0,2,1,49.0,0.109,0.20
143,3297.0,4,1,49.0,0.580,0.20
144,3298.0,1,0,49.0,0.133,0.19
145,3299.0,2,0,49.0,0.043,0.23
146,3300.0,4,1,49.0,0.432,0.15
147,3302.0,3,0,49.0,0.436,0.20
148,3303.0,3,1,49.0,0.342,0.20
149,3304.0,4,1,49.0,0.462,0.18
150,3305.0,2,1,49.0,0.289,0.17
151,3306.0,2,1,48.0,0.200,0.17
152,3307.0,1,1,48.0,0.000,0.00
153,3309.0,2,1,53.0,0.187,0.20
154,3310.0,2,1,52.0,0.161,0.19
155,3312.0,3,1,51.0,0.400,0.17
156,3313.0,2,1,51.0,0.236,0.17
157,3315.0,2,1,51.0,0.339,0.16
158,3317.0,2,0,50.0,0.134,0.20
159,3319.0,3,1,49.0,0.404,0.15
160,3324.0,2,0,49.0,0.100,0.20
161,3325.0,2,1,49.0,0.177,0.18
162,3326.0,4,1,49.0,0.469,0.17
163,3327.0,4,1,49.0,0.460,0.15
164,3328.0,2,0,49.0,0.191,0.20
165,3329.0,4,1,49.0,0.532,0.14
166,3331.0,4,1,48.0,0.456,0.15
167,3333.0,4,1,48.0,0.500,0.16
168,3334.0,3,0,48.0,0.375,0.20
169,3335.0,2,1,47.0,0.247,0.21
170,3336.0,2,1,52.0,0.212,0.18
171,3338.0,2,1,51.0,0.237,0.16
172,3339.0,2,1,51.0,0.321,0.18
173,3340.0,2,1,51.0,0.260,0.20
174,3342.0,2,1,51.0,0.131,0.16
175,3343.0,3,1,51.0,0.343,0.19
176,3344.0,2,1,50.0,0.168,0.16
177,3346.0,3,1,50.0,0.378,0.16
178,3347.0,4,1,49.0,0.472,0.17
179,3349.0,4,1,48.0,0.530,0.17
180,3350.0,2,1,48.0,0.253,0.19
181,3352.0,2,1,48.0,0.233,0.14
182,3353.0,3,1,48.0,0.327,0.16
183,3355.0,2,0,48.0,0.131,0.26
184,3357.0,2,0,48.0,0.297,0.21
185,3358.0,2,1,47.0,0.197,0.22
186,3360.0,4,1,47.0,0.477,0.20
187,3361.0,2,1,47.0,0.288,0.17
188,3362.0,4,1,47.0,0.496,0.19
189,3363.0,1,1,52.0,0.068,0.23
190,3365.0,2,1,51.0,0.160,0.19
191,3370.0,2,1,50.0,0.230,0.18
192,3372.0,2,1,50.0,0.206,0.18
193,3373.0,2,1,49.0,0.198,0.19
194,3376.0,2,1,49.0,0.188,0.21
195,3377.0,3,1,49.0,0.362,0.20
196,3379.0,4,1,48.0,0.503,0.17
197,3381.0,3,1,48.0,0.444,0.15
198,3382.0,2,1,48.0,0.259,0.19
199,3385.0,4,1,47.0,0.515,0.18
200,3388.0,4,1,47.0,0.564,0.18
201,3391.0,3,1,51.0,0.359,0.16
202,3392.0,2,1,51.0,0.241,0.22
203,3393.0,2,1,51.0,0.150,0.20
204,3397.0,2,1,50.0,0.171,0.22
205,3398.0,2,1,49.0,0.134,0.21
206,3400.0,2,1,49.0,0.295,0.17
207,3401.0,3,1,49.0,0.455,0.17
208,3404.0,2,1,49.0,0.160,0.18
209,3406.0,3,1,48.0,0.363,0.15
210,3407.0,2,1,48.0,0.250,0.20
211,3408.0,1,1,47.0,0.152,0.19
212,3409.0,3,1,47.0,0.422,0.17
213,3411.0,2,1,47.0,0.195,0.16
214,3412.0,4,1,47.0,0.462,0.17
215,3414.0,3,1,47.0,0.398,0.17
216,3415.0,4,1,47.0,0.482,0.16
217,3417.0,2,1,47.0,0.136,0.18
218,3419.0,2,1,47.0,0.268,0.23
219,3422.0,4,1,45.0,0.512,0.16
220,3424.0,2,1,50.0,0.206,0.18
221,3425.0,1,1,50.0,0.119,0.21
222,3427.0,4,1,49.0,0.481,0.18
223,3430.0,3,1,48.0,0.435,0.16
224,3432.0,3,1,48.0,0.413,0.16
225,3433.0,2,1,48.0,0.268,0.21
226,3434.0,2,1,47.0,0.219,0.18
227,3435.0,4,0,47.0,0.492,0.16
228,3436.0,4,1,47.0,0.505,0.15
229,3439.0,4,1,47.0,0.490,0.16
230,3441.0,2,1,47.0,0.330,0.18
231,3442.0,4,1,47.0,0.450,0.15
232,3443.0,3,1,47.0,0.418,0.18
233,3444.0,2,1,47.0,0.258,0.16
234,3445.0,2,1,47.0,0.338,0.22
235,3446.0,2,0,47.0,0.052,0.24
236,3448.0,3,1,46.0,0.336,0.18
237,3452.0,3,1,46.0,0.395,0.16
238,3454.0,3,1,45.0,0.407,0.17
239,3455.0,2,1,45.0,0.310,0.18
240,3456.0,2,1,45.0,0.166,0.20
241,3458.0,3,1,50.0,0.325,0.15
242,3459.0,2,1,49.0,0.227,0.17
243,3460.0,2,1,49.0,0.283,0.16
244,3461.0,2,1,49.0,0.293,0.17
245,3462.0,3,1,49.0,0.470,0.16
246,3463.0,3,1,49.0,0.414,0.17
247,3465.0,2,1,49.0,0.118,0.24
248,3467.0,2,1,48.0,0.282,0.19
249,3469.0,2,0,47.0,0.127,0.23
250,3470.0,2,0,47.0,0.320,0.16
251,3471.0,2,1,46.0,0.188,0.21
252,3472.0,2,1,46.0,0.093,0.20
253,3473.0,4,1,46.0,0.584,0.14
254,3474.0,2,0,46.0,0.325,0.18
255,3475.0,3,1,46.0,0.390,0.18
256,3476.0,2,1,46.0,0.165,0.20
257,3477.0,2,1,46.0,0.339,0.19
258,3478.0,3,1,46.0,0.377,0.17
259,3480.0,2,1,46.0,0.202,0.20
260,3482.0,2,1,45.0,0.301,0.17
261,3483.0,1,0,45.0,0.095,0.24
262,3484.0,4,1,45.0,0.624,0.16
263,3485.0,2,1,45.0,0.333,0.18
264,3486.0,2,0,50.0,0.164,0.20
265,3488.0,3,1,49.0,0.380,0.13
266,3489.0,4,1,49.0,0.537,0.15
267,3491.0,2,1,49.0,0.188,0.22
268,3492.0,2,1,49.0,0.078,0.21
269,3493.0,2,1,48.0,0.288,0.18
270,3496.0,2,1,48.0,0.242,0.18
271,3497.0,3,1,48.0,0.405,0.17
272,3498.0,2,1,48.0,0.137,0.16
273,3499.0,4,1,48.0,0.443,0.13
274,3501.0,3,1,47.0,0.375,0.16
275,3502.0,4,1,47.0,0.541,0.18
276,3503.0,2,1,47.0,0.242,0.16
277,3505.0,4,1,45.0,0.459,0.17
278,3506.0,2,1,45.0,0.122,0.22
279,3507.0,2,1,45.0,0.315,0.18
280,3508.0,3,1,45.0,0.367,0.20
281,3509.0,2,0,45.0,0.240,0.15
282,3514.0,4,1,49.0,0.467,0.18
283,3516.0,3,1,49.0,0.404,0.16
284,3517.0,4,1,49.0,0.573,0.14
285,3518.0,2,0,48.0,0.340,0.21
286,3519.0,2,1,48.0,0.284,0.16
287,3521.0,2,1,48.0,0.078,0.19
288,3522.0,4,1,48.0,0.504,0.17
289,3523.0,2,1,48.0,0.328,0.18
290,3527.0,4,1,45.0,0.461,0.17
291,3528.0,2,0,45.0,0.178,0.18
292,3529.0,4,1,45.0,0.529,0.17
293,3532.0,4,1,45.0,0.554,0.17
294,3533.0,3,1,44.0,0.389,0.16
295,3534.0,4,1,44.0,0.488,0.14
296,3535.0,2,1,44.0,0.189,0.23
297,3536.0,2,1,50.0,0.247,0.17
298,3537.0,2,1,48.0,0.166,0.22
299,3538.0,3,1,48.0,0.380,0.18
300,3539.0,3,1,48.0,0.388,0.20
301,3540.0,1,1,48.0,0.142,0.22
302,3541.0,4,1,48.0,0.479,0.13
303,3542.0,2,1,48.0,0.294,0.18
304,3543.0,4,1,48.0,0.462,0.15
305,3544.0,2,1,48.0,0.277,0.18
306,3546.0,3,1,47.0,0.406,0.17
307,3548.0,3,1,46.0,0.456,0.12
308,3549.0,1,1,45.0,0.081,0.27
309,3550.0,3,1,45.0,0.452,0.17
310,3551.0,2,0,45.0,0.180,0.22
311,3552.0,3,1,45.0,0.363,0.17
312,3553.0,2,1,44.0,0.191,0.17
313,3554.0,4,1,44.0,0.529,0.16
314,3555.0,4,1,44.0,0.516,0.16
315,3556.0,4,1,44.0,0.509,0.16
316,3557.0,4,1,43.0,0.522,0.12
317,3558.0,3,1,43.0,0.376,0.18
318,3559.0,2,1,48.0,0.256,0.18
319,3560.0,2,1,48.0,0.243,0.19
320,3561.0,2,1,48.0,0.234,0.20
321,3562.0,4,1,47.0,0.529,0.17
322,3563.0,4,1,47.0,0.480,0.18
323,3564.0,2,1,46.0,0.317,0.15
324,3565.0,2,1,46.0,0.153,0.19
325,3566.0,2,1,46.0,0.295,0.19
326,3567.0,2,1,46.0,0.207,0.18
327,3568.0,4,1,45.0,0.478,0.16
328,3569.0,2,1,45.0,0.185,0.23
329,3571.0,2,1,45.0,0.247,0.16
330,3572.0,4,1,45.0,0.542,0.18
331,3573.0,4,1,44.0,0.654,0.16
332,3574.0,1,1,44.0,0.360,0.17
333,3575.0,2,1,44.0,0.200,0.16
334,3576.0,3,1,44.0,0.520,0.17
335,3577.0,3,1,44.0,0.439,0.14
336,3578.0,4,1,44.0,0.487,0.16
337,3579.0,4,0,44.0,0.478,0.15
338,3580.0,4,0,43.0,0.442,0.18
339,3581.0,2,1,43.0,0.257,0.19
340,3582.0,3,1,43.0,0.473,0.17
341,3583.0,2,1,43.0,0.205,0.17
342,3584.0,4,1,43.0,0.488,0.18
343,3585.0,2,1,43.0,0.256,0.20
344,3587.0,2,1,43.0,0.322,0.15
345,3588.0,2,1,43.0,0.259,0.18
346,3589.0,4,1,43.0,0.463,0.16
347,3590.0,4,1,43.0,0.413,0.14
348,3591.0,2,1,48.0,0.339,0.17
349,3592.0,2,1,48.0,0.301,0.18
350,3593.0,2,1,48.0,0.169,0.19
351,3594.0,2,1,48.0,0.130,0.17
352,3596.0,2,1,47.0,0.252,0.17
353,3600.0,2,1,46.0,0.305,0.22
354,3601.0,2,1,46.0,0.132,0.20
355,3602.0,3,1,46.0,0.369,0.17
356,3604.0,2,0,46.0,0.237,0.17
357,3605.0,3,1,45.0,0.400,0.18
358,3606.0,4,1,45.0,0.538,0.15
359,3607.0,2,1,44.0,0.315,0.19
360,3608.0,2,1,44.0,0.132,0.19
361,3609.0,2,1,44.0,0.227,0.16
362,3611.0,4,0,44.0,0.527,0.14
363,3612.0,4,1,44.0,0.457,0.16
364,3613.0,4,1,44.0,0.500,0.16
365,3614.0,2,1,43.0,0.255,0.18
366,3615.0,3,1,43.0,0.370,0.15
367,3616.0,2,1,43.0,0.247,0.19
368,3617.0,2,1,43.0,0.202,0.20
369,3618.0,4,0,43.0,0.536,0.17
370,3619.0,3,1,43.0,0.343,0.20
371,3620.0,2,1,42.0,0.166,0.19
372,3621.0,4,1,42.0,0.489,0.16
373,3622.0,4,1,42.0,0.387,0.17
374,3623.0,4,1,42.0,0.503,0.16
375,3624.0,2,1,47.0,0.237,0.19
376,3626.0,2,1,47.0,0.177,0.15
377,3627.0,3,1,47.0,0.358,0.19
378,3628.0,2,1,47.0,0.171,0.18
379,3629.0,4,1,47.0,0.450,0.15
380,3630.0,2,1,47.0,0.222,0.20
381,3631.0,3,1,47.0,0.409,0.18
382,3632.0,2,1,46.0,0.203,0.18
383,3633.0,2,1,46.0,0.213,0.18
384,3635.0,4,1,46.0,0.503,0.16
385,3636.0,2,1,46.0,0.222,0.18
386,3637.0,2,1,46.0,0.204,0.19
387,3641.0,4,1,45.0,0.439,0.18
388,3642.0,2,1,45.0,0.180,0.20
389,3643.0,2,1,44.0,0.300,0.19
390,3644.0,2,1,44.0,0.135,0.20
391,3645.0,4,0,44.0,0.526,0.14
392,3647.0,3,1,44.0,0.326,0.16
393,3648.0,2,1,43.0,0.198,0.17
394,3650.0,2,0,43.0,0.205,0.17
395,3652.0,2,1,43.0,0.194,0.19
396,3653.0,3,1,43.0,0.347,0.19
397,3654.0,3,1,43.0,0.400,0.18
398,3655.0,3,1,43.0,0.413,0.18
399,3656.0,4,1,43.0,0.488,0.16
400,3658.0,2,1,42.0,0.191,0.18
401,3659.0,3,1,42.0,0.377,0.17
402,3660.0,2,1,47.0,0.159,0.17
403,3661.0,3,1,47.0,0.330,0.19
404,3662.0,3,1,47.0,0.458,0.16
405,3663.0,2,1,46.0,0.339,0.17
406,3664.0,4,1,46.0,0.476,0.16
407,3666.0,2,1,46.0,0.255,0.17
408,3667.0,1,1,45.0,0.050,0.18
409,3668.0,2,1,45.0,0.169,0.23
410,3670.0,2,1,45.0,0.296,0.18
411,3673.0,2,1,44.0,0.211,0.22
412,3674.0,3,0,44.0,0.405,0.17
413,3678.0,2,1,43.0,0.211,0.18
414,3679.0,4,1,43.0,0.466,0.16
415,3680.0,3,1,43.0,0.375,0.20
416,3681.0,3,1,43.0,0.378,0.16
417,3682.0,2,1,43.0,0.172,0.19
418,3683.0,3,1,43.0,0.390,0.15
419,3684.0,3,1,42.0,0.372,0.18
420,3685.0,3,1,42.0,0.457,0.15
421,3686.0,3,1,41.0,0.336,0.16
422,3687.0,3,1,47.0,0.433,0.15
423,3690.0,3,1,46.0,0.373,0.19
424,3691.0,2,1,46.0,0.262,0.17
425,3692.0,2,1,45.0,0.278,0.17
426,3693.0,2,0,45.0,0.320,0.16
427,3694.0,2,1,45.0,0.293,0.17
428,3695.0,2,1,45.0,0.148,0.20
429,3696.0,3,1,44.0,0.395,0.20
430,3697.0,2,1,44.0,0.309,0.19
431,3698.0,2,1,44.0,0.195,0.19
432,3699.0,3,1,44.0,0.374,0.15
433,3701.0,2,1,43.0,0.223,0.15
434,3702.0,2,1,43.0,0.291,0.20
435,3703.0,4,1,43.0,0.460,0.19
436,3704.0,2,0,43.0,0.258,0.18
437,3705.0,2,1,42.0,0.319,0.18
438,3707.0,2,0,42.0,0.169,0.21
439,3708.0,3,1,42.0,0.409,0.18
440,3709.0,2,1,42.0,0.184,0.18
441,3710.0,2,1,42.0,0.383,0.16
442,3711.0,3,1,42.0,0.382,0.19
443,3712.0,3,1,42.0,0.404,0.18
444,3713.0,4,1,42.0,0.477,0.16
445,3714.0,2,1,42.0,0.263,0.16
446,3715.0,2,1,42.0,0.197,0.17
447,3716.0,4,1,42.0,0.478,0.13
448,3717.0,2,1,41.0,0.396,0.15
449,3718.0,3,1,41.0,0.410,0.18
450,3719.0,4,1,41.0,0.496,0.15
451,3721.0,4,1,41.0,0.580,0.11
452,3722.0,2,1,46.0,0.207,0.17
453,3723.0,2,1,46.0,0.224,0.16
454,3725.0,2,1,45.0,0.123,0.22
455,3726.0,3,1,45.0,0.318,0.17
456,3727.0,2,1,45.0,0.114,0.18
457,3729.0,2,1,45.0,0.247,0.20
458,3730.0,2,1,44.0,0.325,0.18
459,3731.0,3,1,43.0,0.453,0.17
460,3734.0,3,1,43.0,0.383,0.15
461,3736.0,3,1,43.0,0.387,0.16
462,3737.0,4,1,43.0,0.568,0.17
463,3740.0,3,1,42.0,0.391,0.16
464,3741.0,2,1,42.0,0.269,0.18
465,3742.0,3,1,42.0,0.320,0.18
466,3743.0,4,1,42.0,0.569,0.14
467,3744.0,4,1,42.0,0.592,0.13
468,3745.0,3,1,42.0,0.424,0.16
469,3746.0,4,1,41.0,0.471,0.17
470,3747.0,3,1,41.0,0.420,0.15
471,3748.0,2,1,41.0,0.178,0.17
472,3750.0,2,1,46.0,0.119,0.20
473,3752.0,2,1,45.0,0.281,0.18
474,3753.0,2,1,45.0,0.261,0.18
475,3755.0,2,1,45.0,0.214,0.20
476,3757.0,3,1,45.0,0.419,0.15
477,3759.0,2,1,44.0,0.240,0.20
478,3761.0,2,1,44.0,0.355,0.17
479,3762.0,2,1,44.0,0.188,0.20
480,3764.0,1,1,44.0,0.125,0.15
481,3768.0,1,1,43.0,0.088,0.25
482,3769.0,3,1,43.0,0.333,0.18
483,3771.0,3,1,42.0,0.402,0.14
484,3772.0,2,1,42.0,0.258,0.18
485,3773.0,2,1,42.0,0.368,0.18
486,3775.0,2,1,42.0,0.223,0.19
487,3776.0,2,1,41.0,0.241,0.20
488,3777.0,4,1,41.0,0.489,0.19
489,3778.0,2,0,41.0,0.322,0.21
490,3779.0,4,1,41.0,0.500,0.12
491,3780.0,4,1,41.0,0.534,0.16
492,3781.0,2,1,40.0,0.287,0.16
493,3782.0,4,1,40.0,0.480,0.13
494,3783.0,4,1,40.0,0.551,0.13
495,3784.0,4,1,40.0,0.414,0.16
496,3787.0,2,1,45.0,0.214,0.18
497,3788.0,4,1,45.0,0.461,0.14
498,3789.0,2,1,44.0,0.059,0.24
499,3790.0,2,1,44.0,0.301,0.19
500,3791.0,2,1,44.0,0.162,0.19
501,3792.0,4,1,44.0,0.489,0.17
502,3793.0,1,1,44.0,0.083,0.21
503,3794.0,2,1,43.0,0.276,0.21
504,3795.0,4,1,43.0,0.683,0.14
505,3796.0,2,1,43.0,0.225,0.20
506,3797.0,2,1,43.0,0.296,0.17
507,3798.0,2,1,43.0,0.198,0.21
508,3799.0,3,1,43.0,0.415,0.13
509,3800.0,2,1,42.0,0.258,0.20
510,3801.0,2,0,42.0,0.294,0.15
511,3802.0,2,0,42.0,0.333,0.18
512,3804.0,2,1,42.0,0.292,0.17
513,3805.0,4,1,42.0,0.496,0.12
514,3807.0,2,1,42.0,0.247,0.17
515,3808.0,2,1,41.0,0.287,0.16
516,3809.0,3,1,41.0,0.392,0.17
517,3811.0,3,1,41.0,0.434,0.16
518,3812.0,2,1,40.0,0.204,0.20
519,3813.0,4,1,40.0,0.469,0.19
520,3814.0,3,1,40.0,0.353,0.18
521,3815.0,3,1,40.0,0.444,0.14
522,3817.0,2,0,39.0,0.113,0.22
523,3818.0,2,1,45.0,0.102,0.16
524,3819.0,2,1,44.0,0.198,0.19
525,3820.0,2,1,44.0,0.250,0.17
526,3822.0,4,1,44.0,0.564,0.18
527,3823.0,3,1,44.0,0.393,0.17
528,3824.0,2,1,43.0,0.064,0.20
529,3825.0,2,1,43.0,0.200,0.16
530,3826.0,4,1,43.0,0.477,0.16
531,3827.0,2,1,43.0,0.181,0.18
532,3828.0,3,1,43.0,0.414,0.18
533,3829.0,2,1,43.0,0.141,0.17
534,3830.0,1,1,42.0,0.100,0.16
535,3831.0,2,1,42.0,0.393,0.14
536,3832.0,3,1,42.0,0.365,0.16
537,3833.0,4,1,42.0,0.493,0.13
538,3834.0,3,1,42.0,0.375,0.19
539,3835.0,2,1,41.0,0.209,0.22
540,3837.0,3,1,41.0,0.391,0.16
541,3838.0,3,1,41.0,0.408,0.14
542,3839.0,3,1,41.0,0.348,0.17
543,3841.0,4,1,40.0,0.459,0.19
544,3842.0,2,1,40.0,0.275,0.20
545,3843.0,3,1,40.0,0.333,0.18
546,3845.0,4,0,40.0,0.542,0.17
547,3846.0,2,1,40.0,0.270,0.18
548,3847.0,2,1,39.0,0.174,0.15
549,3848.0,2,1,39.0,0.327,0.17
550,3849.0,4,1,39.0,0.577,0.12
551,3850.0,2,1,44.0,0.246,0.17
552,3851.0,2,1,44.0,0.228,0.17
553,3852.0,3,1,44.0,0.303,0.16
554,3853.0,4,1,44.0,0.518,0.17
555,3854.0,4,1,44.0,0.536,0.14
556,3855.0,2,1,44.0,0.208,0.20
557,3856.0,2,1,44.0,0.160,0.16
558,3857.0,1,1,43.0,0.366,0.17
559,3858.0,2,1,43.0,0.319,0.17
560,3859.0,2,1,43.0,0.172,0.18
561,3860.0,2,1,43.0,0.336,0.20
562,3862.0,2,1,42.0,0.269,0.18
563,3863.0,3,1,42.0,0.362,0.14
564,3864.0,2,1,42.0,0.134,0.19
565,3865.0,2,1,41.0,0.252,0.17
566,3866.0,2,1,41.0,0.173,0.20
567,3867.0,2,1,41.0,0.240,0.17
568,3868.0,3,1,41.0,0.360,0.19
569,3869.0,2,1,41.0,0.265,0.18
570,3870.0,2,1,41.0,0.325,0.16
571,3871.0,2,0,41.0,0.342,0.17
572,3872.0,3,1,40.0,0.427,0.18
573,3873.0,3,1,40.0,0.400,0.17
574,3874.0,4,1,40.0,0.535,0.16
575,3875.0,2,1,40.0,0.359,0.17
576,3876.0,4,1,39.0,0.509,0.15
577,3877.0,2,1,39.0,0.317,0.17
578,3878.0,2,1,39.0,0.283,0.14
579,3879.0,2,1,44.0,0.218,0.20
580,3880.0,2,1,43.0,0.241,0.19
581,3881.0,2,1,43.0,0.315,0.18
582,3882.0,3,1,43.0,0.409,0.17
583,3883.0,2,1,43.0,0.218,0.17
584,3884.0,2,1,43.0,0.208,0.17
585,3885.0,3,1,42.0,0.398,0.18
586,3887.0,4,1,42.0,0.571,0.15
587,3888.0,3,1,41.0,0.404,0.14
588,3889.0,2,1,41.0,0.289,0.19
589,3890.0,3,1,41.0,0.435,0.16
590,3891.0,2,1,41.0,0.203,0.19
591,3892.0,3,1,40.0,0.386,0.18
592,3893.0,3,1,40.0,0.327,0.18
593,3894.0,3,0,40.0,0.443,0.16
594,3895.0,3,1,40.0,0.379,0.15
595,3896.0,3,1,40.0,0.404,0.16
596,3897.0,4,1,40.0,0.555,0.14
597,3898.0,4,1,40.0,0.516,0.16
598,3899.0,1,1,40.0,0.000,0.00
599,3900.0,4,0,39.0,0.555,0.16
600,3901.0,4,1,39.0,0.458,0.18
601,3902.0,3,1,39.0,0.320,0.20
602,3903.0,4,1,39.0,0.540,0.15
603,3904.0,3,1,39.0,0.362,0.20
604,3905.0,2,1,39.0,0.200,0.19
