racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3408,1,1,48,0.093,0.16
3409,2,1,48,0.354,0.18
3411,2,1,48,0.205,0.19
3412,4,1,48,0.460,0.17
3414,3,1,48,0.385,0.17
3415,4,1,48,0.443,0.15
3417,2,1,48,0.159,0.16
3419,2,1,48,0.247,0.22
3422,4,1,46,0.491,0.16
3424,1,1,51,0.260,0.20
3425,1,1,51,0.190,0.20
3427,4,1,50,0.647,0.15
3430,3,1,49,0.378,0.16
3432,2,1,49,0.283,0.16
3433,2,1,49,0.190,0.20
3434,2,1,48,0.363,0.18
3435,4,0,48,0.612,0.16
3436,4,1,48,0.551,0.13
3439,4,1,48,0.512,0.16
3441,2,1,48,0.288,0.18
3442,3,1,48,0.394,0.16
3443,3,1,48,0.361,0.18
3444,2,1,48,0.116,0.15
3445,3,1,48,0.392,0.18
3448,2,1,47,0.273,0.18
3452,2,1,47,0.337,0.16
3454,3,1,46,0.427,0.16
3455,2,1,46,0.299,0.18
3456,2,1,46,0.213,0.22
3458,3,1,51,0.328,0.16
3459,2,1,50,0.142,0.18
3460,2,1,50,0.245,0.18
3461,2,1,50,0.280,0.17
3462,3,1,50,0.340,0.16
3463,3,1,50,0.422,0.18
3465,2,1,50,0.192,0.23
3467,2,1,49,0.229,0.21
3469,2,0,48,0.191,0.21
3470,3,0,48,0.391,0.17
3471,2,1,47,0.209,0.20
3472,1,1,47,0.000,0.21
3473,4,1,47,0.590,0.15
3474,2,0,47,0.357,0.20
3475,3,1,47,0.401,0.18
3476,2,1,47,0.197,0.22
3477,2,1,47,0.263,0.19
3478,2,1,47,0.366,0.16
3480,2,1,47,0.109,0.19
3482,2,1,46,0.292,0.16
3483,2,0,46,0.252,0.21
3484,4,1,46,0.552,0.15
3485,3,1,46,0.421,0.18
3486,2,0,51,0.147,0.24
3488,3,1,50,0.405,0.14
3489,4,1,50,0.474,0.16
3491,2,1,50,0.148,0.20
3493,2,1,49,0.160,0.22
3497,3,1,49,0.441,0.18
3498,2,1,49,0.153,0.17
3499,4,1,49,0.467,0.15
3501,2,1,48,0.325,0.16
3502,4,1,48,0.486,0.18
3503,2,1,48,0.235,0.15
3505,3,1,46,0.319,0.17
3506,2,1,46,0.217,0.22
3507,3,1,46,0.460,0.18
3508,2,1,46,0.257,0.20
3509,2,0,46,0.129,0.14
3514,4,1,50,0.468,0.16
3516,2,1,50,0.234,0.16
3517,3,1,50,0.421,0.17
3518,2,0,49,0.269,0.19
3519,1,1,49,0.000,0.00
3521,2,1,49,0.158,0.18
3522,3,1,49,0.466,0.18
3523,2,1,49,0.339,0.17
3527,4,1,46,0.452,0.17
3528,2,0,46,0.170,0.22
3529,4,1,46,0.613,0.16
3532,4,1,46,0.464,0.20
3533,2,1,45,0.327,0.18
3534,4,1,45,0.470,0.14
3535,2,1,45,0.225,0.20
3536,2,1,51,0.258,0.22
