racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
4214,3,1,27,0.397,0.18
4215,3,1,27,0.425,0.17
4216,3,1,26,0.330,0.18
4217,2,1,30,0.163,0.19
4218,4,1,30,0.529,0.15
4219,2,1,30,0.260,0.18
4220,3,1,30,0.387,0.17
4221,2,1,30,0.141,0.17
4222,3,1,30,0.400,0.17
4223,2,1,29,0.166,0.19
4224,2,0,29,0.343,0.19
4225,1,0,29,0.425,0.19
4226,2,1,29,0.333,0.16
4227,4,1,28,0.473,0.18
4228,2,1,28,0.245,0.20
4229,2,1,28,0.217,0.22
4230,4,1,28,0.467,0.15
4231,3,1,28,0.414,0.14
4232,2,1,28,0.235,0.18
4233,3,1,28,0.359,0.19
4234,2,1,28,0.201,0.21
4235,2,1,28,0.219,0.21
4236,4,1,28,0.469,0.15
4237,4,1,28,0.465,0.20
4238,4,1,27,0.465,0.15
4239,3,1,27,0.430,0.17
4240,2,0,27,0.304,0.16
4241,2,1,26,0.298,0.20
4243,2,0,26,0.283,0.19
4244,2,0,25,0.311,0.19
4245,2,1,30,0.243,0.18
4246,2,0,29,0.294,0.18
4247,4,1,29,0.459,0.16
4248,3,1,29,0.378,0.17
4249,2,1,29,0.133,0.20
4250,2,1,29,0.242,0.19
4251,3,1,28,0.348,0.19
4252,2,1,28,0.303,0.17
4253,2,1,28,0.295,0.19
4254,2,1,28,0.241,0.18
4256,4,1,28,0.493,0.17
4257,3,1,28,0.434,0.14
4258,2,1,28,0.292,0.21
4259,3,1,27,0.429,0.15
4260,3,1,27,0.405,0.17
4261,4,1,27,0.500,0.15
4262,4,1,27,0.478,0.19
4263,2,1,27,0.269,0.22
4264,4,1,27,0.468,0.19
4265,2,1,26,0.113,0.22
4266,4,1,26,0.544,0.18
4268,2,1,26,0.324,0.14
4269,4,1,26,0.469,0.16
4270,3,1,29,0.447,0.19
4271,2,1,29,0.352,0.19
4272,2,1,29,0.229,0.18
4273,2,1,29,0.329,0.18
4274,2,1,29,0.304,0.17
4275,1,0,29,0.040,0.21
4276,4,1,28,0.512,0.15
4277,2,1,28,0.323,0.17
4278,4,1,28,0.518,0.13
4279,1,1,28,0.062,0.23
4280,2,1,28,0.134,0.20
4281,3,1,28,0.415,0.18
4282,1,0,28,0.000,0.00
4283,2,0,27,0.135,0.22
4284,2,1,27,0.308,0.18
4285,2,1,27,0.258,0.18
4286,2,0,27,0.269,0.19
4287,4,1,27,0.516,0.15
4288,4,1,27,0.533,0.15
4289,3,0,27,0.412,0.16
4290,3,1,27,0.456,0.16
4291,2,1,26,0.207,0.23
4292,4,1,26,0.589,0.16
4293,3,1,26,0.371,0.16
4294,4,1,25,0.517,0.16
4295,4,1,25,0.500,0.18
4296,4,1,24,0.458,0.15
4297,4,1,29,0.456,0.12
4298,3,1,29,0.358,0.17
4299,2,1,29,0.219,0.19
4300,2,0,28,0.225,0.21
4301,2,1,28,0.254,0.20
4302,3,1,28,0.363,0.17
4303,4,1,28,0.486,0.19
4304,3,0,28,0.416,0.16
4305,3,1,28,0.427,0.15
4306,1,1,28,0.185,0.23
4307,2,1,28,0.114,0.24
4308,4,1,28,0.523,0.17
4309,2,1,27,0.165,0.23
4310,2,1,27,0.138,0.19
4311,3,1,27,0.419,0.17
4312,2,1,27,0.164,0.19
4313,1,0,27,0.000,0.00
4314,4,1,27,0.504,0.14
4315,2,1,27,0.284,0.18
4316,3,1,27,0.361,0.16
4317,2,0,27,0.166,0.19
4318,2,1,27,0.301,0.19
4319,2,1,26,0.247,0.18
4320,4,1,26,0.613,0.15
4321,2,1,26,0.236,0.18
4322,2,1,25,0.131,0.21
4323,3,1,25,0.413,0.19
4324,3,1,24,0.475,0.20
4325,2,1,28,0.196,0.16
4327,2,1,28,0.299,0.20
4328,1,1,28,0.122,0.18
4329,3,1,28,0.371,0.16
4330,3,1,28,0.405,0.16
4331,2,1,28,0.309,0.17
4332,2,1,28,0.333,0.17
4333,3,1,28,0.374,0.18
4334,1,1,28,0.142,0.21
4335,4,1,27,0.483,0.14
4336,3,1,27,0.345,0.17
4337,4,1,27,0.488,0.14
4338,2,0,27,0.178,0.20
4339,2,1,27,0.145,0.20
4340,2,1,27,0.257,0.16
4341,1,0,27,0.000,0.00
4342,3,1,27,0.431,0.19
4343,2,1,27,0.166,0.22
4344,4,1,26,0.496,0.15
4345,2,1,26,0.238,0.18
4346,2,1,26,0.205,0.18
4347,3,0,26,0.392,0.17
4348,2,1,26,0.284,0.20
4349,2,0,26,0.162,0.18
4350,4,1,25,0.543,0.13
4351,4,1,25,0.577,0.17
4352,4,1,25,0.508,0.16
4353,2,1,23,0.258,0.19
4354,2,0,28,0.102,0.19
4355,2,1,28,0.247,0.17
4356,2,1,27,0.326,0.17
4357,3,1,27,0.361,0.20
